,ratio,rndint,dataset,rmse,mape,r2
0,0.05,678.0,Grid1296,78.29512782877418,0.09592233189928986,0.409997556278729
1,0.05,678.0,Grid2401,101.38129969536323,0.11839432179572806,0.06503702213006102
2,0.05,678.0,Sobol1,71.33833816336424,0.09281927505368237,0.4112388031953481
3,0.05,678.0,Sobol2,72.0660418191841,0.09370012800124124,0.3814735184550859
4,0.05,147.0,Grid1296,78.34730610794462,0.09579964148212085,0.4091750559037477
5,0.05,147.0,Grid2401,101.24572694478418,0.11811579484396469,0.07556923663870874
6,0.05,147.0,Sobol1,71.61397296164104,0.09322147357774628,0.40148801513449994
7,0.05,147.0,Sobol2,72.13805279246358,0.0938961584679398,0.3785481278863747
8,0.05,561.0,Grid1296,78.22757986516977,0.09576559853624853,0.410896506370363
9,0.05,561.0,Grid2401,101.49449456176677,0.11857839854179916,0.06379381679063356
10,0.05,561.0,Sobol1,71.42039626861398,0.09306738655068054,0.40773968342612743
11,0.05,561.0,Sobol2,72.36749737342856,0.09430234787537592,0.37440410310658634
12,0.05,237.0,Grid1296,79.01323576946955,0.09604562891303074,0.39988539352962804
13,0.05,237.0,Grid2401,101.48641867521394,0.11850263188771644,0.0665766016359377
14,0.05,237.0,Sobol1,71.55446971951106,0.09313475213346478,0.40683489608936896
15,0.05,237.0,Sobol2,72.0824645144642,0.09382489146486181,0.38195983744980844
16,0.05,588.0,Grid1296,78.15748236807029,0.09597762161240433,0.41097244049005643
17,0.05,588.0,Grid2401,101.57836653812436,0.11846876635108504,0.06801329593806149
18,0.05,588.0,Sobol1,71.57344462468657,0.09310110923020253,0.40452606874209074
19,0.05,588.0,Sobol2,71.8064521320147,0.09338756354272709,0.38442538768788304
20,0.05,951.0,Grid1296,78.65746091001884,0.09597006802713141,0.40588221722514173
21,0.05,951.0,Grid2401,101.13735588527311,0.1179429868990666,0.07483518879908602
22,0.05,951.0,Sobol1,71.49061778723707,0.09305978962824832,0.41668214170512186
23,0.05,951.0,Sobol2,72.03630064447027,0.09388670384523105,0.38266848375576545
24,0.05,490.0,Grid1296,78.29496757325705,0.09579165778362354,0.40889718172694733
25,0.05,490.0,Grid2401,101.98277939839916,0.11906783146015032,0.057656837460781984
26,0.05,490.0,Sobol1,71.28549462028256,0.09262826157367463,0.40803942793599723
27,0.05,490.0,Sobol2,72.34056104854709,0.09419195856844431,0.37614414379435424
28,0.05,395.0,Grid1296,78.73233310402199,0.09588038749812483,0.40392493857418865
29,0.05,395.0,Grid2401,101.27604438362796,0.11824715285736452,0.0701701673064955
30,0.05,395.0,Sobol1,71.29924369065978,0.09280367316965014,0.40952138900066914
31,0.05,395.0,Sobol2,72.08867588227598,0.09380026539671256,0.38470670554300024
32,0.05,877.0,Grid1296,78.66956250408076,0.09603290187379139,0.40354419639251615
33,0.05,877.0,Grid2401,101.30963681554795,0.1181628241129439,0.0717556329523954
34,0.05,877.0,Sobol1,71.28354429294977,0.09278728226561787,0.4090470955010105
35,0.05,877.0,Sobol2,72.37253781208828,0.09414913096913426,0.3699785908243596
36,0.05,297.0,Grid1296,78.32192315289281,0.09586856415689235,0.40985593623506533
37,0.05,297.0,Grid2401,100.83654523435308,0.11767875965209125,0.07882161796399079
38,0.05,297.0,Sobol1,71.61050920921637,0.0931860600070124,0.4073160018416704
39,0.05,297.0,Sobol2,71.89269595069882,0.09350916491251429,0.38013021033324756
40,0.05,721.0,Grid1296,78.71177545702201,0.09619077156690795,0.40461637279366913
41,0.05,721.0,Grid2401,101.48677775798933,0.1184553813813491,0.06636704311036978
42,0.05,721.0,Sobol1,71.56296161669839,0.09321077379397498,0.4078920833967089
43,0.05,721.0,Sobol2,72.40573419159905,0.09419268981754038,0.36859407851045445
44,0.05,711.0,Grid1296,78.264153352835,0.09595791976646208,0.4095170644376004
45,0.05,711.0,Grid2401,101.5812479509338,0.11864918592381939,0.06589127680132112
46,0.05,711.0,Sobol1,71.26871634778665,0.09263050472231317,0.4094279661307282
47,0.05,711.0,Sobol2,72.23872723807722,0.09400962162805344,0.3778160193313609
48,0.05,985.0,Grid1296,78.42047482281764,0.09594260179718402,0.4074392905478169
49,0.05,985.0,Grid2401,101.2730168563646,0.11811354877179096,0.0728226642628973
50,0.05,985.0,Sobol1,71.52421470099642,0.0929693814881982,0.3993134958875971
51,0.05,985.0,Sobol2,72.1231295800086,0.09375060252754251,0.3830823135897813
52,0.05,171.0,Grid1296,78.67425033825921,0.09601771339266386,0.40430061331574196
53,0.05,171.0,Grid2401,101.34847123733952,0.11833176933850069,0.07267706154932918
54,0.05,171.0,Sobol1,71.4035374583628,0.09296866740241382,0.41181479692890866
55,0.05,171.0,Sobol2,72.17453309977047,0.09377998563390764,0.38113724948842753
56,0.05,75.0,Grid1296,78.27936449312801,0.09580599265394264,0.4103533360835723
57,0.05,75.0,Grid2401,101.23306651315076,0.11827519790298839,0.07057144484332967
58,0.05,75.0,Sobol1,71.3392606717476,0.09280731034946274,0.4078682454522916
59,0.05,75.0,Sobol2,72.05154773088464,0.09383058900578668,0.3803153002291537
60,0.05,16.0,Grid1296,78.33491516543074,0.09592761648930387,0.4079431669158191
61,0.05,16.0,Grid2401,101.3565177249742,0.11824824844517219,0.07155133804680902
62,0.05,16.0,Sobol1,71.35375228096837,0.09283225353537643,0.40459493140265057
63,0.05,16.0,Sobol2,72.2428305431379,0.09393650560935259,0.375119180656748
64,0.05,669.0,Grid1296,78.77656732448031,0.09593238496850533,0.4035656620494502
65,0.05,669.0,Grid2401,101.52594101568857,0.11849494222540612,0.06759752373089234
66,0.05,669.0,Sobol1,71.65908316209672,0.09336908313279985,0.4050886588933994
67,0.05,669.0,Sobol2,71.7247848523,0.09320465062040702,0.3863143954461137
68,0.05,530.0,Grid1296,78.46158476272979,0.09595253728702471,0.4074559892303409
69,0.05,530.0,Grid2401,101.35928806467864,0.11841026933170001,0.06881177416699469
70,0.05,530.0,Sobol1,71.51760690782713,0.09303423051476922,0.4004084493312039
71,0.05,530.0,Sobol2,72.05742262806028,0.09374682320067039,0.38386828152218944
72,0.05,999.0,Grid1296,79.12873513887345,0.09612592678838253,0.3991275467157839
73,0.05,999.0,Grid2401,101.23175160004882,0.11820926679570924,0.06972956347600479
74,0.05,999.0,Sobol1,71.48895521654786,0.09300221685722769,0.40786841482113323
75,0.05,999.0,Sobol2,72.055134227009,0.09375257865690033,0.37789098583730574
76,0.05,794.0,Grid1296,78.58433804587703,0.09590936804665592,0.40485083701960933
77,0.05,794.0,Grid2401,101.55670708960277,0.11855579733607075,0.06481852188484705
78,0.05,794.0,Sobol1,71.36119568685687,0.09286751656669973,0.40275131762771055
79,0.05,794.0,Sobol2,72.19394905913306,0.0938520810776318,0.378484744122788
80,0.05,936.0,Grid1296,78.44838407474968,0.09586666085860403,0.4077532561943057
81,0.05,936.0,Grid2401,101.23046047597342,0.11813893136890888,0.0694823872405187
82,0.05,936.0,Sobol1,71.49755920605129,0.09299423269663826,0.40171594120130694
83,0.05,936.0,Sobol2,71.91573442414935,0.09353031357611447,0.3870474906677783
84,0.05,111.0,Grid1296,78.78431127206363,0.09584908488790093,0.4039964328856529
85,0.05,111.0,Grid2401,101.7014682023386,0.11870838537911207,0.06586275522972729
86,0.05,111.0,Sobol1,71.53396325067854,0.09305366580621795,0.4035199914040053
87,0.05,111.0,Sobol2,72.13428630818463,0.0938826268126329,0.3861683579718427
88,0.05,816.0,Grid1296,78.79728203333397,0.09597031539467042,0.4047636615705895
89,0.05,816.0,Grid2401,101.50237909253907,0.11852474329502721,0.06346869265941624
90,0.05,816.0,Sobol1,71.39566057832644,0.09287438862095962,0.4053330679607874
91,0.05,816.0,Sobol2,72.33625892796232,0.09420356840178709,0.37680909811301255
92,0.05,968.0,Grid1296,78.35054855235941,0.09577780273563818,0.40769034210299804
93,0.05,968.0,Grid2401,101.23371089620318,0.1181757208259599,0.07274850538909738
94,0.05,968.0,Sobol1,71.60702112619155,0.09318555422657455,0.39828428037147445
95,0.05,968.0,Sobol2,71.88290948568869,0.0934570361475729,0.3851403722801552
96,0.05,48.0,Grid1296,78.41170891145728,0.09591643305028862,0.40865295186525097
97,0.05,48.0,Grid2401,101.56400952023708,0.11864262150258567,0.06342609564416701
98,0.05,48.0,Sobol1,71.34561115579756,0.09283561012829308,0.40805637768411007
99,0.05,48.0,Sobol2,71.96852878937786,0.09361904967941309,0.3829800052102491
