,ratio,rndint,dataset,prediction,target,diff
0,0.05,678.0,Grid1296,738.5607858351104,707.0,-31.560785835110437
1,0.05,678.0,Grid2401,778.2372142659931,707.0,-71.23721426599309
2,0.05,678.0,Sobol1,677.0448251165534,707.0,29.955174883446603
3,0.05,678.0,Sobol2,664.6233404165348,707.0,42.3766595834652
4,0.05,147.0,Grid1296,738.2090018901504,707.0,-31.209001890150375
5,0.05,147.0,Grid2401,776.68484811791,707.0,-69.68484811790995
6,0.05,147.0,Sobol1,678.9616351376899,707.0,28.038364862310118
7,0.05,147.0,Sobol2,665.1343416530074,707.0,41.86565834699263
8,0.05,561.0,Grid1296,738.1466583768754,707.0,-31.146658376875394
9,0.05,561.0,Grid2401,778.3494974157031,707.0,-71.34949741570313
10,0.05,561.0,Sobol1,679.1970301162385,707.0,27.802969883761534
11,0.05,561.0,Sobol2,663.3386336807449,707.0,43.66136631925508
12,0.05,237.0,Grid1296,741.346010299449,707.0,-34.34601029944895
13,0.05,237.0,Grid2401,777.8595263110802,707.0,-70.85952631108023
14,0.05,237.0,Sobol1,680.0763422643038,707.0,26.923657735696224
15,0.05,237.0,Sobol2,665.6599274798372,707.0,41.340072520162835
16,0.05,588.0,Grid1296,739.0726991212624,707.0,-32.07269912126242
17,0.05,588.0,Grid2401,777.579527677106,707.0,-70.57952767710594
18,0.05,588.0,Sobol1,678.9075816607897,707.0,28.092418339210326
19,0.05,588.0,Sobol2,665.7674230597822,707.0,41.23257694021777
20,0.05,951.0,Grid1296,739.5507764481481,707.0,-32.5507764481481
21,0.05,951.0,Grid2401,777.0841650407817,707.0,-70.08416504078173
22,0.05,951.0,Sobol1,678.7763165035021,707.0,28.22368349649787
23,0.05,951.0,Sobol2,667.8306918505016,707.0,39.16930814949842
24,0.05,490.0,Grid1296,739.290438834304,707.0,-32.29043883430404
25,0.05,490.0,Grid2401,779.0720066214193,707.0,-72.07200662141929
26,0.05,490.0,Sobol1,680.0457754299365,707.0,26.954224570063502
27,0.05,490.0,Sobol2,664.1177530274358,707.0,42.88224697256419
28,0.05,395.0,Grid1296,739.8976431419591,707.0,-32.897643141959065
29,0.05,395.0,Grid2401,777.242249771866,707.0,-70.242249771866
30,0.05,395.0,Sobol1,678.1871849668496,707.0,28.8128150331504
31,0.05,395.0,Sobol2,665.2058257173042,707.0,41.79417428269585
32,0.05,877.0,Grid1296,740.5568238513488,707.0,-33.55682385134878
33,0.05,877.0,Grid2401,777.3685738407646,707.0,-70.36857384076461
34,0.05,877.0,Sobol1,679.3527054339548,707.0,27.64729456604516
35,0.05,877.0,Sobol2,663.1859968055019,707.0,43.81400319449813
36,0.05,297.0,Grid1296,738.2214816910932,707.0,-31.22148169109323
37,0.05,297.0,Grid2401,776.7266813475555,707.0,-69.72668134755554
38,0.05,297.0,Sobol1,678.5758186972621,707.0,28.424181302737907
39,0.05,297.0,Sobol2,666.1730292649013,707.0,40.82697073509871
40,0.05,721.0,Grid1296,740.42015282905,707.0,-33.42015282905004
41,0.05,721.0,Grid2401,778.1540639425822,707.0,-71.15406394258218
42,0.05,721.0,Sobol1,680.521202905698,707.0,26.478797094301967
43,0.05,721.0,Sobol2,662.8302616476167,707.0,44.16973835238332
44,0.05,711.0,Grid1296,738.9475595340075,707.0,-31.947559534007496
45,0.05,711.0,Grid2401,778.2669641326461,707.0,-71.26696413264608
46,0.05,711.0,Sobol1,679.6598319899987,707.0,27.34016801000132
47,0.05,711.0,Sobol2,665.0239516863167,707.0,41.97604831368335
48,0.05,985.0,Grid1296,739.9640256127054,707.0,-32.96402561270543
49,0.05,985.0,Grid2401,777.1622163085842,707.0,-70.16221630858422
50,0.05,985.0,Sobol1,678.731309287008,707.0,28.268690712991997
51,0.05,985.0,Sobol2,663.9441018942908,707.0,43.05589810570916
52,0.05,171.0,Grid1296,741.0108181773523,707.0,-34.01081817735235
53,0.05,171.0,Grid2401,777.0613107031418,707.0,-70.06131070314177
54,0.05,171.0,Sobol1,680.3050173250504,707.0,26.694982674949642
55,0.05,171.0,Sobol2,662.4933149816604,707.0,44.50668501833957
56,0.05,75.0,Grid1296,738.4975219695262,707.0,-31.497521969526247
57,0.05,75.0,Grid2401,778.4101835975284,707.0,-71.41018359752843
58,0.05,75.0,Sobol1,678.9901598831807,707.0,28.009840116819305
59,0.05,75.0,Sobol2,665.148790400515,707.0,41.851209599484946
60,0.05,16.0,Grid1296,739.583740593789,707.0,-32.583740593789
61,0.05,16.0,Grid2401,777.4094582829305,707.0,-70.40945828293047
62,0.05,16.0,Sobol1,677.3896372826321,707.0,29.610362717367934
63,0.05,16.0,Sobol2,664.5859980577244,707.0,42.414001942275604
64,0.05,669.0,Grid1296,740.1751961331206,707.0,-33.17519613312061
65,0.05,669.0,Grid2401,777.978251691748,707.0,-70.97825169174803
66,0.05,669.0,Sobol1,681.1757492204549,707.0,25.824250779545082
67,0.05,669.0,Sobol2,665.0795770151954,707.0,41.920422984804645
68,0.05,530.0,Grid1296,739.4407753844508,707.0,-32.44077538445083
69,0.05,530.0,Grid2401,778.1178997693623,707.0,-71.11789976936234
70,0.05,530.0,Sobol1,679.2010186986134,707.0,27.79898130138656
71,0.05,530.0,Sobol2,664.2772813122992,707.0,42.72271868770076
72,0.05,999.0,Grid1296,741.3477354876067,707.0,-34.347735487606656
73,0.05,999.0,Grid2401,777.7275985339086,707.0,-70.72759853390858
74,0.05,999.0,Sobol1,679.8405987169019,707.0,27.159401283098077
75,0.05,999.0,Sobol2,665.5605317005978,707.0,41.439468299402165
76,0.05,794.0,Grid1296,740.4153401977268,707.0,-33.41534019772678
77,0.05,794.0,Grid2401,777.9118683517366,707.0,-70.91186835173664
78,0.05,794.0,Sobol1,679.3846594800634,707.0,27.61534051993658
79,0.05,794.0,Sobol2,665.2752712538112,707.0,41.724728746188816
80,0.05,936.0,Grid1296,739.2714073223806,707.0,-32.27140732238058
81,0.05,936.0,Grid2401,777.8445824813687,707.0,-70.84458248136866
82,0.05,936.0,Sobol1,678.9550221679037,707.0,28.044977832096265
83,0.05,936.0,Sobol2,664.4993905161659,707.0,42.50060948383407
84,0.05,111.0,Grid1296,739.8823054810605,707.0,-32.882305481060484
85,0.05,111.0,Grid2401,777.8204114767909,707.0,-70.82041147679092
86,0.05,111.0,Sobol1,678.6353126325672,707.0,28.364687367432794
87,0.05,111.0,Sobol2,662.5694656280556,707.0,44.43053437194442
88,0.05,816.0,Grid1296,739.3228004694516,707.0,-32.322800469451636
89,0.05,816.0,Grid2401,778.4534058828699,707.0,-71.4534058828699
90,0.05,816.0,Sobol1,677.6968739116089,707.0,29.303126088391082
91,0.05,816.0,Sobol2,664.4097792279312,707.0,42.59022077206885
92,0.05,968.0,Grid1296,739.3987429861028,707.0,-32.398742986102775
93,0.05,968.0,Grid2401,777.3526684032125,707.0,-70.35266840321253
94,0.05,968.0,Sobol1,677.9714915976424,707.0,29.028508402357602
95,0.05,968.0,Sobol2,665.0909166934036,707.0,41.90908330659636
