,ratio,rndint,dataset,degree,rmse,r2,prediction,target,diff
0,0.05,678.0,Grid1296,1.0,78.2951278287742,0.4099975562787288,738.5607858351108,707.0,-31.560785835110774
1,0.05,678.0,Grid2401,1.0,101.3812996953628,0.0650370221300689,778.237214265992,707.0,-71.23721426599195
2,0.05,678.0,Sobol1,1.0,71.33833816336423,0.4112388031953485,677.0448251165544,707.0,29.95517488344558
3,0.05,678.0,Sobol2,1.0,72.06604181918402,0.3814735184550871,664.6233404165354,707.0,42.37665958346463
4,0.05,678.0,Grid1296,2.0,47.177596912147536,0.7857819970362675,749.5101040087609,707.0,-42.51010400876089
5,0.05,678.0,Grid2401,2.0,83.31153254588908,0.3686227163785497,776.9368120875793,707.0,-69.93681208757926
6,0.05,678.0,Sobol1,2.0,39.54751908975867,0.8190612057897209,705.9680082855565,707.0,1.031991714443507
7,0.05,678.0,Sobol2,2.0,38.77855250892716,0.8209063664909861,703.1846986752183,707.0,3.815301324781672
8,0.05,678.0,Grid1296,3.0,26.29788004256208,0.933438083886304,724.4995193745,707.0,-17.499519374499982
9,0.05,678.0,Grid2401,3.0,47.47640001356103,0.7949620429883538,747.875,707.0,-40.875
10,0.05,678.0,Sobol1,3.0,26.507723392120585,0.9187098241066944,735.2012342255902,707.0,-28.20123422559016
11,0.05,678.0,Sobol2,3.0,23.67329949322126,0.933255644409682,735.4181392667272,707.0,-28.418139266727167
12,0.05,678.0,Grid1296,4.0,50.14823132207588,0.7579553005551898,705.3692495462311,707.0,1.6307504537688828
13,0.05,678.0,Grid2401,4.0,45.86045806686906,0.8086821543768222,714.25,707.0,-7.25
14,0.05,678.0,Sobol1,4.0,24.21702704989187,0.9321523426580228,729.4217687114777,707.0,-22.42176871147774
15,0.05,678.0,Sobol2,4.0,22.581639413576728,0.9392693546732274,722.7802016740023,707.0,-15.780201674002342
16,0.05,678.0,Grid1296,5.0,69.75371282346754,0.5317055686363481,697.2336019638408,707.0,9.766398036159217
17,0.05,678.0,Grid2401,5.0,108.56554057606672,-0.0721676604573255,711.53125,707.0,-4.53125
18,0.05,678.0,Sobol1,5.0,19.99780383227101,0.9537344413222362,717.3146170721674,707.0,-10.31461707216738
19,0.05,678.0,Sobol2,5.0,17.990434825726688,0.9614539145287546,724.1440723067348,707.0,-17.144072306734756
20,0.05,678.0,Grid1296,6.0,310679844.2795914,-9289888319393.885,-18298909.925807957,707.0,18299616.925807957
21,0.05,678.0,Grid2401,6.0,150.92319432977695,-1.0720044432869489,727.125,707.0,-20.125
22,0.05,678.0,Sobol1,6.0,20.633714198320924,0.9507452607160048,718.9387721998993,707.0,-11.93877219989929
23,0.05,678.0,Sobol2,6.0,17.95833410553877,0.9615913490259824,732.3782156122314,707.0,-25.37821561223143
24,0.05,678.0,Grid1296,7.0,56785631.78782622,-310356795844.1549,3214518.740452647,707.0,-3213811.740452647
25,0.05,678.0,Grid2401,7.0,8607969.071121374,-6740313567.737776,-711368.5703125,707.0,712075.5703125
26,0.05,678.0,Sobol1,7.0,21.427137464917557,0.946884470561992,718.1825571478322,707.0,-11.1825571478322
27,0.05,678.0,Sobol2,7.0,18.92435830248625,0.9573480114718622,727.464300745024,707.0,-20.464300745024048
28,0.05,678.0,Grid1296,8.0,43906023.84674095,-185537864358.62503,2380023.8516281843,707.0,-2379316.8516281843
29,0.05,678.0,Grid2401,8.0,9892785.978208972,-8902580970.910944,811889.09375,707.0,-811182.09375
30,0.05,678.0,Sobol1,8.0,22.27854666608108,0.9425795071465132,714.9661151918699,707.0,-7.966115191869903
31,0.05,678.0,Sobol2,8.0,21.443523275893984,0.9452367458850452,721.4609623996148,707.0,-14.4609623996148
32,0.05,678.0,Grid1296,9.0,5065805.679350916,-2469911478.064556,-177316.29673109762,707.0,178023.29673109762
33,0.05,678.0,Grid2401,9.0,38198448.23589825,-132730321522.99744,-2797737.9609375,707.0,2798444.9609375
34,0.05,678.0,Sobol1,9.0,25.217871903787707,0.92642842187883,717.4902385473251,707.0,-10.490238547325134
35,0.05,678.0,Sobol2,9.0,25.86265165194945,0.9203394941253848,712.7925831973553,707.0,-5.79258319735527
36,0.05,678.0,Grid1296,10.0,292705929.9707823,-8246076839141.16,-10559006.800379751,707.0,10559713.800379751
37,0.05,678.0,Grid2401,10.0,44975941.57851239,-184009071324.5323,-2217810.625,707.0,2218517.625
38,0.05,678.0,Sobol1,10.0,34.24455187248605,0.8643323888922629,719.3560283184052,707.0,-12.356028318405151
39,0.05,678.0,Sobol2,10.0,38.90705643467693,0.8197174429419545,704.1188679784536,707.0,2.881132021546364
40,0.05,147.0,Grid1296,1.0,78.34730610794463,0.4091750559037473,738.209001890151,707.0,-31.209001890150944
41,0.05,147.0,Grid2401,1.0,101.24572694478384,0.075569236638715,776.684848117909,707.0,-69.68484811790904
42,0.05,147.0,Sobol1,1.0,71.61397296164102,0.4014880151345,678.9616351376902,707.0,28.038364862309777
43,0.05,147.0,Sobol2,1.0,72.1380527924635,0.3785481278863761,665.1343416530086,707.0,41.86565834699138
44,0.05,147.0,Grid1296,2.0,46.77242940812575,0.7894328871816847,749.5841451230124,707.0,-42.58414512301238
45,0.05,147.0,Grid2401,2.0,82.41572482836446,0.3874505578941825,774.0955986601191,707.0,-67.0955986601191
46,0.05,147.0,Sobol1,2.0,39.8024614274724,0.8151169165079856,707.4805402940362,707.0,-0.4805402940362455
47,0.05,147.0,Sobol2,2.0,38.800268531402224,0.8202172030550651,702.2169782978536,707.0,4.783021702146357
48,0.05,147.0,Grid1296,3.0,26.280486076702207,0.933522072262411,724.8378754325587,707.0,-17.83787543255869
49,0.05,147.0,Grid2401,3.0,44.44823187295302,0.8218318941460769,743.8237109827426,707.0,-36.82371098274257
50,0.05,147.0,Sobol1,3.0,26.54325852370858,0.9177784254288612,734.53003993206,707.0,-27.53003993206005
51,0.05,147.0,Sobol2,3.0,23.81108256221503,0.9322924729659764,734.5370391398254,707.0,-27.537039139825424
52,0.05,147.0,Grid1296,4.0,49.72271809258791,0.7620309873850546,705.6392077913746,707.0,1.360792208625412
53,0.05,147.0,Grid2401,4.0,46.65672469929455,0.8036868101896648,716.3701247149027,707.0,-9.37012471490266
54,0.05,147.0,Sobol1,4.0,24.23465799747013,0.9314588943252036,729.6506481836816,707.0,-22.6506481836816
55,0.05,147.0,Sobol2,4.0,22.74471174175308,0.9382211891902664,723.8623088788539,707.0,-16.862308878853923
56,0.05,147.0,Grid1296,5.0,71.25601110199563,0.5112872157300364,701.0625,707.0,5.9375
57,0.05,147.0,Grid2401,5.0,110.70670331321156,-0.1052711146217728,711.7760255391304,707.0,-4.776025539130387
58,0.05,147.0,Sobol1,5.0,19.910917002198,0.9537342252094236,717.6699021385674,707.0,-10.669902138567409
59,0.05,147.0,Sobol2,5.0,18.10807266591294,0.9608417633002098,725.067485583839,707.0,-18.067485583839016
60,0.05,147.0,Grid1296,6.0,50969922.18600841,-250056775777.64304,-3001469.4375,707.0,3002176.4375
61,0.05,147.0,Grid2401,6.0,134.87550879308375,-0.6405413285872366,729.2119213574028,707.0,-22.211921357402844
62,0.05,147.0,Sobol1,6.0,20.29383669101289,0.9519375796076892,719.0867004102782,707.0,-12.08670041027824
63,0.05,147.0,Sobol2,6.0,17.92252414946251,0.9616401395558845,730.963785315926,707.0,-23.96378531592597
64,0.05,147.0,Grid1296,7.0,158886900.2795032,-2429891439048.6294,-8980572.9375,707.0,8981279.9375
65,0.05,147.0,Grid2401,7.0,20421383.815212816,-37608959594.29559,1690044.364110947,707.0,-1689337.364110947
66,0.05,147.0,Sobol1,7.0,20.516922500916262,0.9508750918472572,719.0213141568875,707.0,-12.021314156887456
67,0.05,147.0,Sobol2,7.0,18.74737974706432,0.9580279846404972,725.9663579294174,707.0,-18.966357929417427
68,0.05,147.0,Grid1296,8.0,359423274.17879474,-12434349727919.416,-19621037.1875,707.0,19621744.1875
69,0.05,147.0,Grid2401,8.0,8915544.290812278,-7168308824.110085,-728746.3976002932,707.0,729453.3976002932
70,0.05,147.0,Sobol1,8.0,21.08651236969022,0.9481096230684788,715.8746568407514,707.0,-8.874656840751413
71,0.05,147.0,Sobol2,8.0,19.95942278851361,0.9524254569788738,723.2530531916568,707.0,-16.253053191656818
72,0.05,147.0,Grid1296,9.0,83447202.52254389,-670246029581.8654,-6907463.28125,707.0,6908170.28125
73,0.05,147.0,Grid2401,9.0,34752255.316275105,-108914818507.83173,-2556379.140558243,707.0,2557086.140558243
74,0.05,147.0,Sobol1,9.0,25.70741264906348,0.922875199611488,717.6358847618103,707.0,-10.635884761810305
75,0.05,147.0,Sobol2,9.0,23.76842289952718,0.9325348636983308,715.7258664444089,707.0,-8.725866444408894
76,0.05,147.0,Grid1296,10.0,883514319.068235,-75134235357198.28,-30885066.3125,707.0,30885773.3125
77,0.05,147.0,Grid2401,10.0,22409947.89540872,-45290037177.13072,1241288.6169967651,707.0,-1240581.6169967651
78,0.05,147.0,Sobol1,10.0,43.53655054483474,0.7787998851219722,720.0459932796657,707.0,-13.045993279665709
79,0.05,147.0,Sobol2,10.0,53.65113973597922,0.6562548536690813,699.9712470173836,707.0,7.028752982616425
80,0.05,561.0,Grid1296,1.0,78.22757986516979,0.4108965063703628,738.146658376876,707.0,-31.14665837687596
81,0.05,561.0,Grid2401,1.0,101.49449456176636,0.0637938167906408,778.3494974157021,707.0,-71.3494974157021
82,0.05,561.0,Sobol1,1.0,71.42039626861398,0.4077396834261274,679.1970301162382,707.0,27.80296988376176
83,0.05,561.0,Sobol2,1.0,72.36749737342855,0.3744041031065865,663.3386336807455,707.0,43.66136631925451
84,0.05,561.0,Grid1296,2.0,46.80590071367983,0.7891017271502415,750.2550371618167,707.0,-43.255037161816745
85,0.05,561.0,Grid2401,2.0,82.00110872277617,0.3888807222961249,774.1831783754683,707.0,-67.18317837546829
86,0.05,561.0,Sobol1,2.0,39.70818014577387,0.8169254014767832,707.3950009732874,707.0,-0.3950009732874378
87,0.05,561.0,Sobol2,2.0,38.90547988460349,0.8191875475947586,702.0726779281615,707.0,4.927322071838489
88,0.05,561.0,Grid1296,3.0,26.21842180356675,0.9338263787656008,725.4966913297421,707.0,-18.49669132974213
89,0.05,561.0,Grid2401,3.0,43.26119883855438,0.8299080988410995,741.9691052101406,707.0,-34.96910521014058
90,0.05,561.0,Sobol1,3.0,26.53025298600712,0.9182757570713516,735.1764699104156,707.0,-28.17646991041556
91,0.05,561.0,Sobol2,3.0,23.6922340238846,0.9329469076840804,734.522715752306,707.0,-27.522715752306
92,0.05,561.0,Grid1296,4.0,49.71912215319306,0.7620319163954583,705.6161678054614,707.0,1.383832194538627
93,0.05,561.0,Grid2401,4.0,45.066834820086434,0.8154131963654727,713.6889844228144,707.0,-6.688984422814428
94,0.05,561.0,Sobol1,4.0,24.27049963682333,0.9316048104952008,730.0801310714228,707.0,-23.080131071422784
95,0.05,561.0,Sobol2,4.0,22.71252692052885,0.9383777298289362,723.117703624279,707.0,-16.117703624278988
96,0.05,561.0,Grid1296,5.0,69.18022234216629,0.5392814316564716,697.1305104376399,707.0,9.86948956236006
97,0.05,561.0,Grid2401,5.0,83.43289142801599,0.3673534790556589,712.75,707.0,-5.75
98,0.05,561.0,Sobol1,5.0,20.00268458328719,0.9535436915138272,717.6613995751226,707.0,-10.661399575122571
99,0.05,561.0,Sobol2,5.0,17.99557581821967,0.9613153850074468,724.7096758510538,707.0,-17.709675851053817
100,0.05,561.0,Grid1296,6.0,200639240.6026104,-3875284219032.842,11818476.125,707.0,-11817769.125
101,0.05,561.0,Grid2401,6.0,94.25234388406432,0.1926332624527035,710.25,707.0,-3.25
