,ratio,rndint,dataset,degree,rmse,r2
0,0.05,678.0,Grid1296,1.0,78.2951278287742,0.4099975562787288
1,0.05,678.0,Grid2401,1.0,101.3812996953628,0.0650370221300689
2,0.05,678.0,Sobol1,1.0,71.33833816336423,0.41123880319534856
3,0.05,678.0,Sobol2,1.0,72.06604181918402,0.38147351845508715
4,0.05,678.0,Grid1296,2.0,47.177596912147536,0.7857819970362675
5,0.05,678.0,Grid2401,2.0,83.31153254588908,0.3686227163785497
6,0.05,678.0,Sobol1,2.0,39.54751908975867,0.8190612057897209
7,0.05,678.0,Sobol2,2.0,38.77855250892716,0.8209063664909861
8,0.05,678.0,Grid1296,3.0,26.297880042562078,0.9334380838863039
9,0.05,678.0,Grid2401,3.0,47.47640001356103,0.7949620429883538
10,0.05,678.0,Sobol1,3.0,26.507723392120585,0.9187098241066944
11,0.05,678.0,Sobol2,3.0,23.67329949322126,0.9332556444096819
12,0.05,678.0,Grid1296,4.0,50.14823132207588,0.7579553005551898
13,0.05,678.0,Grid2401,4.0,45.86045806686906,0.8086821543768222
14,0.05,678.0,Sobol1,4.0,24.21702704989187,0.9321523426580227
15,0.05,678.0,Sobol2,4.0,22.581639413576728,0.9392693546732274
16,0.05,678.0,Grid1296,5.0,69.75371282346754,0.5317055686363481
17,0.05,678.0,Grid2401,5.0,108.56554057606671,-0.07216766045732559
18,0.05,678.0,Sobol1,5.0,19.99780383227101,0.9537344413222362
19,0.05,678.0,Sobol2,5.0,17.990434825726688,0.9614539145287546
20,0.05,678.0,Grid1296,6.0,310679844.2795914,-9289888319393.885
21,0.05,678.0,Grid2401,6.0,150.92319432977695,-1.0720044432869487
22,0.05,678.0,Sobol1,6.0,20.633714198320924,0.9507452607160048
23,0.05,678.0,Sobol2,6.0,17.95833410553877,0.9615913490259824
24,0.05,678.0,Grid1296,7.0,56785631.78782622,-310356795844.1549
25,0.05,678.0,Grid2401,7.0,8607969.071121374,-6740313567.737776
26,0.05,678.0,Sobol1,7.0,21.427137464917553,0.9468844705619919
27,0.05,678.0,Sobol2,7.0,18.924358302486255,0.9573480114718622
28,0.05,678.0,Grid1296,8.0,43906023.84674095,-185537864358.62503
29,0.05,678.0,Grid2401,8.0,9892785.978208972,-8902580970.910944
30,0.05,678.0,Sobol1,8.0,22.278546666081077,0.9425795071465132
31,0.05,678.0,Sobol2,8.0,21.443523275893984,0.9452367458850452
32,0.05,678.0,Grid1296,9.0,5065805.679350916,-2469911478.0645556
33,0.05,678.0,Grid2401,9.0,38198448.23589825,-132730321522.99745
34,0.05,678.0,Sobol1,9.0,25.217871903787707,0.9264284218788299
35,0.05,678.0,Sobol2,9.0,25.86265165194945,0.9203394941253848
36,0.05,678.0,Grid1296,10.0,292705929.9707823,-8246076839141.16
37,0.05,678.0,Grid2401,10.0,44975941.578512385,-184009071324.5323
38,0.05,678.0,Sobol1,10.0,34.24455187248605,0.8643323888922629
39,0.05,678.0,Sobol2,10.0,38.90705643467693,0.8197174429419545
40,0.05,147.0,Grid1296,1.0,78.34730610794463,0.40917505590374736
41,0.05,147.0,Grid2401,1.0,101.24572694478383,0.07556923663871506
42,0.05,147.0,Sobol1,1.0,71.61397296164102,0.40148801513450005
43,0.05,147.0,Sobol2,1.0,72.1380527924635,0.37854812788637615
44,0.05,147.0,Grid1296,2.0,46.77242940812575,0.7894328871816847
45,0.05,147.0,Grid2401,2.0,82.41572482836446,0.3874505578941825
46,0.05,147.0,Sobol1,2.0,39.8024614274724,0.8151169165079856
47,0.05,147.0,Sobol2,2.0,38.800268531402224,0.8202172030550651
48,0.05,147.0,Grid1296,3.0,26.280486076702207,0.933522072262411
49,0.05,147.0,Grid2401,3.0,44.44823187295302,0.8218318941460769
50,0.05,147.0,Sobol1,3.0,26.54325852370858,0.9177784254288612
51,0.05,147.0,Sobol2,3.0,23.81108256221503,0.9322924729659763
52,0.05,147.0,Grid1296,4.0,49.72271809258791,0.7620309873850546
53,0.05,147.0,Grid2401,4.0,46.65672469929455,0.8036868101896648
54,0.05,147.0,Sobol1,4.0,24.23465799747013,0.9314588943252037
55,0.05,147.0,Sobol2,4.0,22.74471174175308,0.9382211891902664
56,0.05,147.0,Grid1296,5.0,71.25601110199563,0.5112872157300364
57,0.05,147.0,Grid2401,5.0,110.70670331321156,-0.10527111462177285
58,0.05,147.0,Sobol1,5.0,19.910917002198,0.9537342252094235
59,0.05,147.0,Sobol2,5.0,18.10807266591294,0.9608417633002098
60,0.05,147.0,Grid1296,6.0,50969922.18600841,-250056775777.64304
61,0.05,147.0,Grid2401,6.0,134.87550879308375,-0.6405413285872366
62,0.05,147.0,Sobol1,6.0,20.293836691012892,0.9519375796076892
63,0.05,147.0,Sobol2,6.0,17.92252414946251,0.9616401395558845
64,0.05,147.0,Grid1296,7.0,158886900.2795032,-2429891439048.6294
65,0.05,147.0,Grid2401,7.0,20421383.815212816,-37608959594.29559
66,0.05,147.0,Sobol1,7.0,20.516922500916266,0.9508750918472573
67,0.05,147.0,Sobol2,7.0,18.74737974706432,0.9580279846404973
68,0.05,147.0,Grid1296,8.0,359423274.17879474,-12434349727919.416
69,0.05,147.0,Grid2401,8.0,8915544.290812278,-7168308824.110085
70,0.05,147.0,Sobol1,8.0,21.08651236969022,0.9481096230684788
71,0.05,147.0,Sobol2,8.0,19.95942278851361,0.9524254569788738
72,0.05,147.0,Grid1296,9.0,83447202.52254389,-670246029581.8654
73,0.05,147.0,Grid2401,9.0,34752255.316275105,-108914818507.83173
74,0.05,147.0,Sobol1,9.0,25.70741264906348,0.9228751996114881
75,0.05,147.0,Sobol2,9.0,23.76842289952718,0.9325348636983309
76,0.05,147.0,Grid1296,10.0,883514319.068235,-75134235357198.28
77,0.05,147.0,Grid2401,10.0,22409947.895408716,-45290037177.13072
78,0.05,147.0,Sobol1,10.0,43.53655054483474,0.7787998851219722
79,0.05,147.0,Sobol2,10.0,53.65113973597922,0.6562548536690813
80,0.05,561.0,Grid1296,1.0,78.22757986516979,0.4108965063703628
81,0.05,561.0,Grid2401,1.0,101.49449456176637,0.06379381679064089
82,0.05,561.0,Sobol1,1.0,71.42039626861398,0.40773968342612743
83,0.05,561.0,Sobol2,1.0,72.36749737342855,0.37440410310658656
84,0.05,561.0,Grid1296,2.0,46.80590071367983,0.7891017271502415
85,0.05,561.0,Grid2401,2.0,82.00110872277617,0.3888807222961249
86,0.05,561.0,Sobol1,2.0,39.70818014577387,0.8169254014767832
87,0.05,561.0,Sobol2,2.0,38.905479884603494,0.8191875475947586
88,0.05,561.0,Grid1296,3.0,26.21842180356675,0.9338263787656007
89,0.05,561.0,Grid2401,3.0,43.26119883855438,0.8299080988410995
90,0.05,561.0,Sobol1,3.0,26.530252986007117,0.9182757570713516
91,0.05,561.0,Sobol2,3.0,23.692234023884602,0.9329469076840804
92,0.05,561.0,Grid1296,4.0,49.71912215319306,0.7620319163954583
93,0.05,561.0,Grid2401,4.0,45.066834820086434,0.8154131963654727
94,0.05,561.0,Sobol1,4.0,24.270499636823335,0.9316048104952009
95,0.05,561.0,Sobol2,4.0,22.712526920528852,0.9383777298289362
96,0.05,561.0,Grid1296,5.0,69.18022234216629,0.5392814316564716
97,0.05,561.0,Grid2401,5.0,83.43289142801599,0.36735347905565896
98,0.05,561.0,Sobol1,5.0,20.00268458328719,0.9535436915138272
99,0.05,561.0,Sobol2,5.0,17.99557581821967,0.9613153850074468
100,0.05,561.0,Grid1296,6.0,200639240.60261038,-3875284219032.842
101,0.05,561.0,Grid2401,6.0,94.25234388406433,0.1926332624527035
102,0.05,561.0,Sobol1,6.0,20.670140539421716,0.9503916271592106
103,0.05,561.0,Sobol2,6.0,17.844238692191265,0.9619632999844969
104,0.05,561.0,Grid1296,7.0,166996577.62508973,-2684645527590.7197
105,0.05,561.0,Grid2401,7.0,66285368.76083466,-399320759295.8029
106,0.05,561.0,Sobol1,7.0,21.448832405995898,0.946583499186486
107,0.05,561.0,Sobol2,7.0,18.793496248337238,0.957808793293055
108,0.05,561.0,Grid1296,8.0,257136781.22068715,-6365026489635.364
109,0.05,561.0,Grid2401,8.0,101101709.90882011,-928973951193.2869
110,0.05,561.0,Sobol1,8.0,22.200135476756547,0.9427758470373065
111,0.05,561.0,Sobol2,8.0,21.022285280754332,0.9472081800381899
112,0.05,561.0,Grid1296,9.0,151988076.48793855,-2223775015243.883
113,0.05,561.0,Grid2401,9.0,71303966.12443027,-462076528943.3241
114,0.05,561.0,Sobol1,9.0,26.056956135754312,0.9211656507199306
115,0.05,561.0,Sobol2,9.0,24.69091134767012,0.927174911030228
116,0.05,561.0,Grid1296,10.0,512272484316.11334,-2.52623569620066e+19
117,0.05,561.0,Grid2401,10.0,390805484.64445966,-13880587078537.14
118,0.05,561.0,Sobol1,10.0,39.05198217428517,0.822926207791441
119,0.05,561.0,Sobol2,10.0,52.69831547167418,0.6682581596704193
120,0.05,237.0,Grid1296,1.0,79.01323576946957,0.3998853935296276
121,0.05,237.0,Grid2401,1.0,101.4864186752136,0.06657660163594403
122,0.05,237.0,Sobol1,1.0,71.55446971951105,0.40683489608936907
123,0.05,237.0,Sobol2,1.0,72.08246451446415,0.38195983744980944
124,0.05,237.0,Grid1296,2.0,47.25245876238858,0.7853735086356708
125,0.05,237.0,Grid2401,2.0,82.79421026020738,0.37875520230430093
126,0.05,237.0,Sobol1,2.0,39.57827451243266,0.8185254320489723
127,0.05,237.0,Sobol2,2.0,38.73389644920302,0.8215404396405034
128,0.05,237.0,Grid1296,3.0,26.64739423700175,0.9317435028864122
129,0.05,237.0,Grid2401,3.0,44.76203298716301,0.8184139695040616
130,0.05,237.0,Sobol1,3.0,26.743244609170183,0.9171428002786758
131,0.05,237.0,Sobol2,3.0,23.64184656780872,0.9335155265735561
132,0.05,237.0,Grid1296,4.0,49.26245599798982,0.7667258464105523
133,0.05,237.0,Grid2401,4.0,47.32627503492915,0.7970133502691191
134,0.05,237.0,Sobol1,4.0,24.526798373097783,0.93030786325635
135,0.05,237.0,Sobol2,4.0,22.60954314355679,0.9391947584241689
136,0.05,237.0,Grid1296,5.0,68.82700975128921,0.5446426974510219
137,0.05,237.0,Grid2401,5.0,85.07968486979357,0.3439837846671031
138,0.05,237.0,Sobol1,5.0,20.421683195729194,0.9516846502647847
139,0.05,237.0,Sobol2,5.0,17.999635863201792,0.9614623806248025
140,0.05,237.0,Grid1296,6.0,153829806.89165694,-2274654770371.3477
141,0.05,237.0,Grid2401,6.0,153.85152544334852,-1.145193351899477
142,0.05,237.0,Sobol1,6.0,20.53307691007948,0.9511561233234307
143,0.05,237.0,Sobol2,6.0,17.986976469807505,0.9615165696459018
144,0.05,237.0,Grid1296,7.0,254229610.85528925,-6212791339264.412
145,0.05,237.0,Grid2401,7.0,35885034.43146182,-116705027053.07631
146,0.05,237.0,Sobol1,7.0,21.38199980060908,0.9470338140838169
