,ratio,rndint,dataset,degree,prediction,target,diff
0,0.05,678.0,Grid1296,1,738.5607858351108,707.0,-31.560785835110778
1,0.05,678.0,Grid2401,1,778.237214265992,707.0,-71.23721426599195
2,0.05,678.0,Sobol1,1,677.0448251165544,707.0,29.95517488344558
3,0.05,678.0,Sobol2,1,664.6233404165354,707.0,42.37665958346463
4,0.05,678.0,Grid1296,2,749.5101040087609,707.0,-42.51010400876089
5,0.05,678.0,Grid2401,2,776.9368120875793,707.0,-69.93681208757926
6,0.05,678.0,Sobol1,2,705.9680082855565,707.0,1.0319917144435067
7,0.05,678.0,Sobol2,2,703.1846986752183,707.0,3.8153013247816716
8,0.05,678.0,Grid1296,3,724.4995193745,707.0,-17.499519374499982
9,0.05,678.0,Grid2401,3,747.875,707.0,-40.875
10,0.05,678.0,Sobol1,3,735.2012342255902,707.0,-28.201234225590156
11,0.05,678.0,Sobol2,3,735.4181392667272,707.0,-28.418139266727167
12,0.05,678.0,Grid1296,4,705.3692495462311,707.0,1.6307504537688828
13,0.05,678.0,Grid2401,4,714.25,707.0,-7.25
14,0.05,678.0,Sobol1,4,729.4217687114777,707.0,-22.42176871147774
15,0.05,678.0,Sobol2,4,722.7802016740023,707.0,-15.780201674002342
16,0.05,678.0,Grid1296,5,697.2336019638408,707.0,9.766398036159217
17,0.05,678.0,Grid2401,5,711.53125,707.0,-4.53125
18,0.05,678.0,Sobol1,5,717.3146170721674,707.0,-10.31461707216738
19,0.05,678.0,Sobol2,5,724.1440723067348,707.0,-17.144072306734756
20,0.05,678.0,Grid1296,6,-18298909.925807953,707.0,18299616.925807953
21,0.05,678.0,Grid2401,6,727.125,707.0,-20.125
22,0.05,678.0,Sobol1,6,718.9387721998993,707.0,-11.93877219989929
23,0.05,678.0,Sobol2,6,732.3782156122314,707.0,-25.37821561223143
24,0.05,678.0,Grid1296,7,3214518.740452647,707.0,-3213811.740452647
25,0.05,678.0,Grid2401,7,-711368.5703125,707.0,712075.5703125
26,0.05,678.0,Sobol1,7,718.1825571478322,707.0,-11.182557147832199
27,0.05,678.0,Sobol2,7,727.464300745024,707.0,-20.464300745024048
28,0.05,678.0,Grid1296,8,2380023.8516281843,707.0,-2379316.8516281843
29,0.05,678.0,Grid2401,8,811889.09375,707.0,-811182.09375
30,0.05,678.0,Sobol1,8,714.9661151918699,707.0,-7.966115191869903
31,0.05,678.0,Sobol2,8,721.4609623996148,707.0,-14.4609623996148
32,0.05,678.0,Grid1296,9,-177316.29673109762,707.0,178023.29673109762
33,0.05,678.0,Grid2401,9,-2797737.9609375,707.0,2798444.9609375
34,0.05,678.0,Sobol1,9,717.4902385473251,707.0,-10.490238547325134
35,0.05,678.0,Sobol2,9,712.7925831973553,707.0,-5.79258319735527
36,0.05,678.0,Grid1296,10,-10559006.800379753,707.0,10559713.800379753
37,0.05,678.0,Grid2401,10,-2217810.625,707.0,2218517.625
38,0.05,678.0,Sobol1,10,719.3560283184052,707.0,-12.356028318405151
39,0.05,678.0,Sobol2,10,704.1188679784536,707.0,2.881132021546364
40,0.05,147.0,Grid1296,1,738.209001890151,707.0,-31.209001890150944
41,0.05,147.0,Grid2401,1,776.684848117909,707.0,-69.68484811790904
42,0.05,147.0,Sobol1,1,678.9616351376902,707.0,28.038364862309777
43,0.05,147.0,Sobol2,1,665.1343416530086,707.0,41.86565834699138
44,0.05,147.0,Grid1296,2,749.5841451230124,707.0,-42.58414512301238
45,0.05,147.0,Grid2401,2,774.0955986601191,707.0,-67.0955986601191
