,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
0,0.5,678.0,Grid1296,RBF,1.0,-,-,-,217.97634946345843,0.2552182057826541,-3.758031874229832
1,0.5,678.0,Grid1296,Matern,1.0,1.5,-,-,58.22165914362894,0.0543348759098694,0.6605484846076535
2,0.5,678.0,Grid1296,RQ,1.0,-,1.0,-,52.11594801954122,0.059790409253134,0.7280119135839371
3,0.5,678.0,Grid1296,ESS,1.0,-,-,1.0,677.556449811415,0.9956484609144822,-44.97265276569276
4,0.5,678.0,Grid2401,RBF,1.0,-,-,-,322.1257467721772,0.4150282712875089,-9.04819732593104
5,0.5,678.0,Grid2401,Matern,1.0,1.5,-,-,35.75006786049934,0.0395079292978847,0.8762369454700654
6,0.5,678.0,Grid2401,RQ,1.0,-,1.0,-,85.2426093820497,0.086751764490359,0.2963596281142315
7,0.5,678.0,Grid2401,ESS,1.0,-,-,1.0,673.0297508028755,0.9930483298522216,-42.86375458640494
8,0.5,678.0,Sobol1,RBF,1.0,-,-,-,27.975357850161853,0.0229334110616822,0.9150863632805282
9,0.5,678.0,Sobol1,Matern,1.0,1.5,-,-,21.675177575599516,0.0182271292706303,0.9490256767561526
10,0.5,678.0,Sobol1,RQ,1.0,-,1.0,-,23.425595854923007,0.0214858433799374,0.9404601915391771
11,0.5,678.0,Sobol1,ESS,1.0,-,-,1.0,674.8736499169338,0.9877598894839228,-48.41639771581061
12,0.5,678.0,Sobol2,RBF,1.0,-,-,-,35.14175904467451,0.0290343468360202,0.8654348535030907
13,0.5,678.0,Sobol2,Matern,1.0,1.5,-,-,22.698640936924104,0.0194044882881727,0.9438583328317032
14,0.5,678.0,Sobol2,RQ,1.0,-,1.0,-,25.281117916205503,0.0235848949389697,0.930356892078278
15,0.5,678.0,Sobol2,ESS,1.0,-,-,1.0,692.7135307106678,0.9736808334772246,-51.28690515311704
16,0.5,147.0,Grid1296,RBF,1.0,-,-,-,216.83408336024544,0.253433791492836,-3.693542873317472
17,0.5,147.0,Grid1296,Matern,1.0,1.5,-,-,56.99229295527592,0.0542318112399156,0.6757515170464727
18,0.5,147.0,Grid1296,RQ,1.0,-,1.0,-,52.70846581221885,0.0601442783809375,0.7226638749806868
19,0.5,147.0,Grid1296,ESS,1.0,-,-,1.0,216.8337876411139,0.253433372342711,-3.693530071183651
20,0.5,147.0,Grid2401,RBF,1.0,-,-,-,289.6320360067344,0.3713691794351836,-7.134205420754622
21,0.5,147.0,Grid2401,Matern,1.0,1.5,-,-,39.51801332404277,0.0429301986534042,0.8485699212891752
22,0.5,147.0,Grid2401,RQ,1.0,-,1.0,-,83.92472375762338,0.0851885688791259,0.3170297563815328
23,0.5,147.0,Grid2401,ESS,1.0,-,-,1.0,289.6319054354732,0.3713690152007702,-7.13419808666799
