,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
0,0.05,678.0,Grid1296,RBF,1.0,-,-,-,423.1731223853364,0.5510578239032852,-16.235365088191028
1,0.05,678.0,Grid1296,Matern,1.0,1.5,-,-,67.67318283417356,0.0613163865987388,0.559224404124708
2,0.05,678.0,Grid1296,RQ,1.0,-,1.0,-,49.76688466995159,0.0584695392515314,0.761622507938769
3,0.05,678.0,Grid1296,ESS,1.0,-,-,1.0,675.9673226110568,0.9921384137546356,-42.97802676999426
4,0.05,678.0,Grid2401,RBF,1.0,-,-,-,513.917186431577,0.708913552439682,-23.02508807514831
5,0.05,678.0,Grid2401,Matern,1.0,1.5,-,-,41.56453594907569,0.0508223453770023,0.8428463119108077
6,0.05,678.0,Grid2401,RQ,1.0,-,1.0,-,88.38225189808301,0.0938506703094396,0.2894267882167147
7,0.05,678.0,Grid2401,ESS,1.0,-,-,1.0,513.9168243641352,0.7089129997098322,-23.025054222615868
8,0.05,678.0,Sobol1,RBF,1.0,-,-,-,23.8849772696798,0.0196383881778134,0.9340001622741524
9,0.05,678.0,Sobol1,Matern,1.0,1.5,-,-,20.151550643145967,0.0157862886273009,0.9530203103217432
10,0.05,678.0,Sobol1,RQ,1.0,-,1.0,-,20.81128283000796,0.0171869860467365,0.9498938647972006
11,0.05,678.0,Sobol1,ESS,1.0,-,-,1.0,679.1712216265765,0.9906095434713492,-52.3644151139583
12,0.05,678.0,Sobol2,RBF,1.0,-,-,-,27.293672838978072,0.0218338953565908,0.9112801247555024
13,0.05,678.0,Sobol2,Matern,1.0,1.5,-,-,20.30534445381025,0.0160856052895461,0.9508959083432824
14,0.05,678.0,Sobol2,RQ,1.0,-,1.0,-,20.006487563976,0.0166175804115008,0.95233071296714
15,0.05,678.0,Sobol2,ESS,1.0,-,-,1.0,681.0419126944041,0.9932075875986074,-54.23885141174016
16,0.05,147.0,Grid1296,RBF,1.0,-,-,-,435.0656002854737,0.5677217024970127,-17.218817176824416
17,0.05,147.0,Grid1296,Matern,1.0,1.5,-,-,67.45281258411471,0.0612514555333551,0.5620638335806967
18,0.05,147.0,Grid1296,RQ,1.0,-,1.0,-,49.418548824051385,0.0580959247204583,0.7649335425582323
19,0.05,147.0,Grid1296,ESS,1.0,-,-,1.0,435.0654963575586,0.567721558135748,-17.218808472649883
20,0.05,147.0,Grid2401,RBF,1.0,-,-,-,671.4658651250305,1.0,-39.660139365744655
21,0.05,147.0,Grid2401,Matern,1.0,1.5,-,-,35.25969787446974,0.0419933310287647,0.887881273281905
22,0.05,147.0,Grid2401,RQ,1.0,-,1.0,-,87.91874078306614,0.0934243817201427,0.3029179460203242
23,0.05,147.0,Grid2401,ESS,1.0,-,-,1.0,505.4332788952099,0.6951070083293348,-22.0382056458729
24,0.05,147.0,Sobol1,RBF,1.0,-,-,-,24.62118882281796,0.0203774230412994,0.9292550648115532
25,0.05,147.0,Sobol1,Matern,1.0,1.5,-,-,20.299971159419187,0.0158826448513959,0.9519085183743714
26,0.05,147.0,Sobol1,RQ,1.0,-,1.0,-,21.005006648200943,0.0174580263033557,0.9485099916695988
27,0.05,147.0,Sobol1,ESS,1.0,-,-,1.0,24.62118006896304,0.0203774150132375,0.9292551151170678
28,0.05,147.0,Sobol2,RBF,1.0,-,-,-,28.00356326164509,0.0223562755516335,0.9063505433985858
29,0.05,147.0,Sobol2,Matern,1.0,1.5,-,-,20.27464241220597,0.0161362814497251,0.9509108992497054
30,0.05,147.0,Sobol2,RQ,1.0,-,1.0,-,19.965173113677665,0.0165893466695274,0.9523980405047068
31,0.05,147.0,Sobol2,ESS,1.0,-,-,1.0,28.003554647220994,0.0223562680315779,0.9063506010152544
32,0.05,561.0,Grid1296,RBF,1.0,-,-,-,435.0402623024224,0.5676162827411737,-17.219259147087804
33,0.05,561.0,Grid1296,Matern,1.0,1.5,-,-,67.4588562846654,0.061121279001059,0.5619237018719976
34,0.05,561.0,Grid1296,RQ,1.0,-,1.0,-,49.26210337044209,0.0578670232449155,0.7663866208432681
35,0.05,561.0,Grid1296,ESS,1.0,-,-,1.0,663.837135117776,0.9636446064223,-41.42236687337327
36,0.05,561.0,Grid2401,RBF,1.0,-,-,-,501.4895689073035,0.6889645265515674,-21.8565323643698
37,0.05,561.0,Grid2401,Matern,1.0,1.5,-,-,32.908586685666776,0.0392118735869524,0.9015750966017684
38,0.05,561.0,Grid2401,RQ,1.0,-,1.0,-,87.4670711705007,0.0927189979329129,0.3046944376134717
39,0.05,561.0,Grid2401,ESS,1.0,-,-,1.0,646.3937459578226,0.942792026607696,-36.97351738712009
40,0.05,561.0,Sobol1,RBF,1.0,-,-,-,23.7338198631387,0.0196215742081099,0.9345961359661908
41,0.05,561.0,Sobol1,Matern,1.0,1.5,-,-,20.14934116367485,0.0157975051386798,0.9528599733165768
42,0.05,561.0,Sobol1,RQ,1.0,-,1.0,-,20.857863252824245,0.017271837660815,0.9494864658082108
43,0.05,561.0,Sobol1,ESS,1.0,-,-,1.0,680.4754995197626,0.9937523169891064,-52.764190294129584
44,0.05,561.0,Sobol2,RBF,1.0,-,-,-,29.350441819091262,0.0229150622972879,0.8970950964544481
45,0.05,561.0,Sobol2,Matern,1.0,1.5,-,-,20.439685913273284,0.0162502093052708,0.9500937176394127
46,0.05,561.0,Sobol2,RQ,1.0,-,1.0,-,20.07998623559198,0.0166592521635117,0.9518347736989038
47,0.05,561.0,Sobol2,ESS,1.0,-,-,1.0,675.510920316934,0.9817005947288512,-53.509416363987
48,0.05,237.0,Grid1296,RBF,1.0,-,-,-,679.1027865185016,0.99997356142503,-43.33079577981234
49,0.05,237.0,Grid1296,Matern,1.0,1.5,-,-,66.54968328511283,0.0605681002571507,0.5742776131920548
50,0.05,237.0,Grid1296,RQ,1.0,-,1.0,-,50.040833893211136,0.0587246579745693,0.7592958494977409
51,0.05,237.0,Grid1296,ESS,1.0,-,-,1.0,426.12008251168027,0.5556887777642576,-16.454142096277007
52,0.05,237.0,Grid2401,RBF,1.0,-,-,-,670.9758545619563,0.9998526291334764,-39.801545454820975
53,0.05,237.0,Grid2401,Matern,1.0,1.5,-,-,41.54176880596939,0.05075432945215,0.843601422781662
54,0.05,237.0,Grid2401,RQ,1.0,-,1.0,-,88.44545198632484,0.0939862670360301,0.2910528835396897
55,0.05,237.0,Grid2401,ESS,1.0,-,-,1.0,514.7953442192827,0.7103446443926168,-23.0177350770401
56,0.05,237.0,Sobol1,RBF,1.0,-,-,-,683.1145077858637,0.9997800688469296,-53.06162254547134
57,0.05,237.0,Sobol1,Matern,1.0,1.5,-,-,20.4265366711562,0.0160539834918656,0.9516616820083392
58,0.05,237.0,Sobol1,RQ,1.0,-,1.0,-,21.14775163567749,0.017623953559038,0.9481879875879048
59,0.05,237.0,Sobol1,ESS,1.0,-,-,1.0,25.50285959477981,0.0203105420233178,0.9246505965847366
60,0.05,237.0,Sobol2,RBF,1.0,-,-,-,28.704020139861093,0.0224891213310984,0.9019962042427554
61,0.05,237.0,Sobol2,Matern,1.0,1.5,-,-,20.418419518283915,0.0162046849595648,0.9504091343166052
62,0.05,237.0,Sobol2,RQ,1.0,-,1.0,-,19.921307749677947,0.0165515264253582,0.9527944422180304
63,0.05,237.0,Sobol2,ESS,1.0,-,-,1.0,28.704019761671336,0.0224891210033923,0.901996206825253
64,0.05,588.0,Grid1296,RBF,1.0,-,-,-,435.6859912570301,0.5688097315917027,-17.30381782997033
65,0.05,588.0,Grid1296,Matern,1.0,1.5,-,-,67.89102680335398,0.0613656318631327,0.5555537494876555
66,0.05,588.0,Grid1296,RQ,1.0,-,1.0,-,49.283646525711845,0.0578684746721331,0.7657928439312776
67,0.05,588.0,Grid1296,ESS,1.0,-,-,1.0,67.0740199974743,0.0554905553152486,0.5661863984642397
68,0.05,588.0,Grid2401,RBF,1.0,-,-,-,499.1253025592202,0.6851274690299821,-21.50227563216057
69,0.05,588.0,Grid2401,Matern,1.0,1.5,-,-,37.20117307428045,0.0443666814884365,0.8749969709718348
70,0.05,588.0,Grid2401,RQ,1.0,-,1.0,-,88.04933880471322,0.0935239834770811,0.2997397649199198
71,0.05,588.0,Grid2401,ESS,1.0,-,-,1.0,249.18135081798164,0.1657981317618486,-4.608391711528666
72,0.05,588.0,Sobol1,RBF,1.0,-,-,-,24.70730013888367,0.020066892518682,0.9290406714328018
73,0.05,588.0,Sobol1,Matern,1.0,1.5,-,-,20.20441318125505,0.0158299929807884,0.9525483412992176
74,0.05,588.0,Sobol1,RQ,1.0,-,1.0,-,20.92844668610215,0.0174058992042719,0.9490865053361788
75,0.05,588.0,Sobol1,ESS,1.0,-,-,1.0,680.4091505259438,0.9930263738058492,-52.81448726293964
76,0.05,588.0,Sobol2,RBF,1.0,-,-,-,28.4574726340104,0.0223610279891712,0.9033178242205168
77,0.05,588.0,Sobol2,Matern,1.0,1.5,-,-,20.321109063325643,0.0161614987888331,0.9506998120401584
78,0.05,588.0,Sobol2,RQ,1.0,-,1.0,-,19.96974096724158,0.016620411834795,0.9523899514050186
79,0.05,588.0,Sobol2,ESS,1.0,-,-,1.0,680.9573457418704,0.9933252405626684,-54.35968112731938
80,0.05,951.0,Grid1296,RBF,1.0,-,-,-,439.4354188226391,0.5744840445681656,-17.54312057457366
81,0.05,951.0,Grid1296,Matern,1.0,1.5,-,-,67.27953129269626,0.0610664686628536,0.5653310481655414
82,0.05,951.0,Grid1296,RQ,1.0,-,1.0,-,49.81792403377136,0.0585115746412481,0.7616780973157866
83,0.05,951.0,Grid1296,ESS,1.0,-,-,1.0,679.3285485309442,0.9999999578452334,-43.31517181380384
84,0.05,951.0,Grid2401,RBF,1.0,-,-,-,505.85093693693216,0.69556228619523,-22.14413920172868
85,0.05,951.0,Grid2401,Matern,1.0,1.5,-,-,38.57419566463916,0.0466602060040031,0.8654171647180026
86,0.05,951.0,Grid2401,RQ,1.0,-,1.0,-,88.00371989949592,0.0934535776454079,0.2995163942494148
87,0.05,951.0,Grid2401,ESS,1.0,-,-,1.0,671.2444274174221,0.9999969707121972,-39.75278579920644
88,0.05,951.0,Sobol1,RBF,1.0,-,-,-,23.58698768431631,0.0194430933688635,0.9365031570128952
89,0.05,951.0,Sobol1,Matern,1.0,1.5,-,-,20.13085862985637,0.0158335605812792,0.9537478665028388
90,0.05,951.0,Sobol1,RQ,1.0,-,1.0,-,20.96905633508846,0.01745580514237,0.9498160380302152
91,0.05,951.0,Sobol1,ESS,1.0,-,-,1.0,683.4291342863086,0.9999967398828332,-52.30821612211563
92,0.05,951.0,Sobol2,RBF,1.0,-,-,-,28.482282327227804,0.0227394776478329,0.9034915769160928
93,0.05,951.0,Sobol2,Matern,1.0,1.5,-,-,20.43538735009336,0.0163283243189035,0.9503200221359162
94,0.05,951.0,Sobol2,RQ,1.0,-,1.0,-,20.0401336751116,0.0166696859465209,0.952223220299512
95,0.05,951.0,Sobol2,ESS,1.0,-,-,1.0,680.3919230259406,0.9928241024325196,-54.0723925532949
96,0.05,490.0,Grid1296,RBF,1.0,-,-,-,424.3708550972712,0.5525906199826003,-16.365465617327363
97,0.05,490.0,Grid1296,Matern,1.0,1.5,-,-,67.49905689188071,0.0611103102411204,0.5606701192795627
98,0.05,490.0,Grid1296,RQ,1.0,-,1.0,-,49.42150946871369,0.0581051974612475,0.7644802430563361
99,0.05,490.0,Grid1296,ESS,1.0,-,-,1.0,679.1827288586181,1.0,-43.48039138603234
100,0.05,490.0,Grid2401,RBF,1.0,-,-,-,505.2252523370179,0.695085742802591,-22.12732987350029
101,0.05,490.0,Grid2401,Matern,1.0,1.5,-,-,37.15519004220515,0.0447927081406161,0.874918128692294
102,0.05,490.0,Grid2401,RQ,1.0,-,1.0,-,88.44847874629053,0.0938172996040118,0.2911797251591836
103,0.05,490.0,Grid2401,ESS,1.0,-,-,1.0,671.1118392919736,1.0,-39.807989313650175
104,0.05,490.0,Sobol1,RBF,1.0,-,-,-,24.30313147416601,0.0198792060033739,0.9311958048164894
105,0.05,490.0,Sobol1,Matern,1.0,1.5,-,-,20.164773248632805,0.0157925227487673,0.95263286338311
106,0.05,490.0,Sobol1,RQ,1.0,-,1.0,-,20.87100674617393,0.0173081074269003,0.9492568710463024
107,0.05,490.0,Sobol1,ESS,1.0,-,-,1.0,683.434441111672,1.0,-53.410681857373945
108,0.05,490.0,Sobol2,RBF,1.0,-,-,-,29.469585408301533,0.0224620286756774,0.8964694400470217
109,0.05,490.0,Sobol2,Matern,1.0,1.5,-,-,20.56051133128485,0.0162178637114897,0.9496048974592136
110,0.05,490.0,Sobol2,RQ,1.0,-,1.0,-,20.358522407596983,0.0168235461351316,0.9505902086959536
111,0.05,490.0,Sobol2,ESS,1.0,-,-,1.0,679.2761832164215,0.9889040782912272,-54.00640803807695
112,0.05,395.0,Grid1296,RBF,1.0,-,-,-,433.1698955201564,0.5652088428566783,-17.043103587329014
113,0.05,395.0,Grid1296,Matern,1.0,1.5,-,-,67.64942377212704,0.061462267544073,0.5599288348892937
114,0.05,395.0,Grid1296,RQ,1.0,-,1.0,-,49.98563731430717,0.058716381499288,0.7597379506389513
115,0.05,395.0,Grid1296,ESS,1.0,-,-,1.0,433.1698788896217,0.565208820126371,-17.043102201884388
116,0.05,395.0,Grid2401,RBF,1.0,-,-,-,508.10095777423663,0.6992528864303952,-22.403997456884348
117,0.05,395.0,Grid2401,Matern,1.0,1.5,-,-,37.331552492533625,0.0448754452553514,0.8736596378647727
118,0.05,395.0,Grid2401,RQ,1.0,-,1.0,-,87.87654986580642,0.0933045484428619,0.2999387961398578
119,0.05,395.0,Grid2401,ESS,1.0,-,-,1.0,508.10094364419,0.6992528647032005,-22.40399615517623
120,0.05,395.0,Sobol1,RBF,1.0,-,-,-,23.509888999354686,0.0195292081862992,0.935799932924114
121,0.05,395.0,Sobol1,Matern,1.0,1.5,-,-,19.9965930251064,0.0157655273180543,0.9535542114959946
122,0.05,395.0,Sobol1,RQ,1.0,-,1.0,-,20.80418806287443,0.0172992804496665,0.9497268767896546
123,0.05,395.0,Sobol1,ESS,1.0,-,-,1.0,23.509887268567496,0.0195292066798507,0.9357999423768724
124,0.05,395.0,Sobol2,RBF,1.0,-,-,-,29.33397818621182,0.0226114464197429,0.8981197470742355
125,0.05,395.0,Sobol2,Matern,1.0,1.5,-,-,20.323755784615173,0.016116077767937,0.9510946895171056
126,0.05,395.0,Sobol2,RQ,1.0,-,1.0,-,19.940533782429007,0.0165765885069577,0.952921605441455
127,0.05,395.0,Sobol2,ESS,1.0,-,-,1.0,29.333973410460707,0.0226114420688901,0.8981197802476897
128,0.05,877.0,Grid1296,RBF,1.0,-,-,-,434.6626036230456,0.5677717486643078,-17.208298016833517
129,0.05,877.0,Grid1296,Matern,1.0,1.5,-,-,67.3732210335365,0.0609321177245753,0.562538920176676
130,0.05,877.0,Grid1296,RQ,1.0,-,1.0,-,49.678265324548335,0.0582880631126634,0.7621530185868325
131,0.05,877.0,Grid1296,ESS,1.0,-,-,1.0,428.9593426974535,0.5597064022651422,-16.733606238370676
132,0.05,877.0,Grid2401,RBF,1.0,-,-,-,512.564630893602,0.7064722229810037,-22.76063675506085
133,0.05,877.0,Grid2401,Matern,1.0,1.5,-,-,40.347898984262656,0.0484435815366424,0.8527678496009045
134,0.05,877.0,Grid2401,RQ,1.0,-,1.0,-,88.02337624377206,0.0935034610942349,0.2992600942618996
135,0.05,877.0,Grid2401,ESS,1.0,-,-,1.0,512.0601016494908,0.7056590683636764,-22.71388348580351
136,0.05,877.0,Sobol1,RBF,1.0,-,-,-,24.113568538770288,0.0198192344479317,0.9323765579073984
137,0.05,877.0,Sobol1,Matern,1.0,1.5,-,-,20.17479077381601,0.0158683589980785,0.9526639101939012
138,0.05,877.0,Sobol1,RQ,1.0,-,1.0,-,20.833729845881336,0.0172335091444511,0.9495212772154464
139,0.05,877.0,Sobol1,ESS,1.0,-,-,1.0,23.440793245989635,0.0191635874881531,0.9360973439093182
140,0.05,877.0,Sobol2,RBF,1.0,-,-,-,27.972385885188967,0.0221901138592096,0.9058832925249454
141,0.05,877.0,Sobol2,Matern,1.0,1.5,-,-,20.23447205702712,0.0160551367625658,0.9507516755588864
142,0.05,877.0,Sobol2,RQ,1.0,-,1.0,-,19.8851800558442,0.016506108425266,0.952437271601309
143,0.05,877.0,Sobol2,ESS,1.0,-,-,1.0,27.523546569168488,0.0217491968106306,0.9088794162861626
144,0.05,297.0,Grid1296,RBF,1.0,-,-,-,679.2860762100878,1.0,-43.39118951756652
145,0.05,297.0,Grid1296,Matern,1.0,1.5,-,-,67.27653906572488,0.0608686062978768,0.564569705836955
146,0.05,297.0,Grid1296,RQ,1.0,-,1.0,-,49.53420086540414,0.0581236683446953,0.7639512640125903
147,0.05,297.0,Grid1296,ESS,1.0,-,-,1.0,585.03885884725,0.7984920001818374,-31.92765357184528
148,0.05,297.0,Grid2401,RBF,1.0,-,-,-,671.2710492092791,1.0,-39.82288148451677
149,0.05,297.0,Grid2401,Matern,1.0,1.5,-,-,40.04708935727368,0.0486019457733052,0.8547053124345272
150,0.05,297.0,Grid2401,RQ,1.0,-,1.0,-,87.8972537516644,0.0934177826062036,0.3000638340118734
151,0.05,297.0,Grid2401,ESS,1.0,-,-,1.0,542.2092373217089,0.7247244286738536,-25.63432200797855
152,0.05,297.0,Sobol1,RBF,1.0,-,-,-,683.3989705721885,1.0,-52.97819011416952
153,0.05,297.0,Sobol1,Matern,1.0,1.5,-,-,20.275712025401827,0.0159753595394241,0.9524859657143268
154,0.05,297.0,Sobol1,RQ,1.0,-,1.0,-,21.05121333250619,0.017580624736913,0.948781843494772
155,0.05,297.0,Sobol1,ESS,1.0,-,-,1.0,680.6565213657702,0.9937490343874532,-52.54583528998466
156,0.05,297.0,Sobol2,RBF,1.0,-,-,-,683.8857296646503,1.0,-55.09162403470135
157,0.05,297.0,Sobol2,Matern,1.0,1.5,-,-,20.222470125069616,0.0159919086256235,0.9509544808165236
158,0.05,297.0,Sobol2,RQ,1.0,-,1.0,-,19.86468926928676,0.0164059557151236,0.9526745792988556
159,0.05,297.0,Sobol2,ESS,1.0,-,-,1.0,670.0445596914944,0.9697718491225789,-52.844122291294354
160,0.05,721.0,Grid1296,RBF,1.0,-,-,-,679.0335541721297,1.0,-43.309815416919086
161,0.05,721.0,Grid1296,Matern,1.0,1.5,-,-,67.3685031020992,0.0612364395082502,0.563854630946197
162,0.05,721.0,Grid1296,RQ,1.0,-,1.0,-,50.05607495784067,0.0588791934591638,0.7592140982785813
163,0.05,721.0,Grid1296,ESS,1.0,-,-,1.0,658.1915392984407,0.9628700213608624,-40.63150019585545
164,0.05,721.0,Grid2401,RBF,1.0,-,-,-,671.0441193837664,1.0,-39.818721319171146
165,0.05,721.0,Grid2401,Matern,1.0,1.5,-,-,37.23437230946025,0.0447006526542076,0.8743260341259431
166,0.05,721.0,Grid2401,RQ,1.0,-,1.0,-,88.11506040468078,0.0935874239841851,0.2961865972687932
167,0.05,721.0,Grid2401,ESS,1.0,-,-,1.0,644.7212304768111,0.9506844613216862,-36.6791580287103
168,0.05,721.0,Sobol1,RBF,1.0,-,-,-,24.15629881696588,0.0199213387103262,0.9325339873594513
169,0.05,721.0,Sobol1,Matern,1.0,1.5,-,-,20.159220463663715,0.0158419964551396,0.9530136482493996
170,0.05,721.0,Sobol1,RQ,1.0,-,1.0,-,20.85502796732331,0.0173536012466887,0.949714148327296
171,0.05,721.0,Sobol1,ESS,1.0,-,-,1.0,683.004282222013,0.9999999999999712,-52.935053020248375
172,0.05,721.0,Sobol2,RBF,1.0,-,-,-,27.892986416442664,0.0221788437596788,0.9062971591420496
173,0.05,721.0,Sobol2,Matern,1.0,1.5,-,-,20.234664347670456,0.0161024841739691,0.9506877593244888
174,0.05,721.0,Sobol2,RQ,1.0,-,1.0,-,19.8658559680764,0.016414739458252,0.952468962722554
175,0.05,721.0,Sobol2,ESS,1.0,-,-,1.0,667.5943511185072,0.9640074168794426,-52.67697509597388
176,0.05,711.0,Grid1296,RBF,1.0,-,-,-,679.2129144657868,1.0,-43.47269400118039
177,0.05,711.0,Grid1296,Matern,1.0,1.5,-,-,67.85337482263962,0.0614326103489485,0.5561620080797008
178,0.05,711.0,Grid1296,RQ,1.0,-,1.0,-,49.60410648134148,0.0583250844151306,0.7627988279499441
179,0.05,711.0,Grid1296,ESS,1.0,-,-,1.0,566.756152827218,0.7744572328997601,-29.96521185460813
180,0.05,711.0,Grid2401,RBF,1.0,-,-,-,671.2266023949097,1.0,-39.78576950661955
181,0.05,711.0,Grid2401,Matern,1.0,1.5,-,-,36.07670165986994,0.0433701302288064,0.8821786512864633
182,0.05,711.0,Grid2401,RQ,1.0,-,1.0,-,87.89373447751196,0.0932601358486567,0.3006635337668899
183,0.05,711.0,Grid2401,ESS,1.0,-,-,1.0,528.2340277511842,0.7119560497279366,-24.25940336375062
184,0.05,711.0,Sobol1,RBF,1.0,-,-,-,24.939294115817216,0.0201939905326526,0.9276825143290004
185,0.05,711.0,Sobol1,Matern,1.0,1.5,-,-,20.47933954152353,0.0160158590542149,0.9512351494825172
186,0.05,711.0,Sobol1,RQ,1.0,-,1.0,-,21.166140057062258,0.0176202268311225,0.947909522887425
187,0.05,711.0,Sobol1,ESS,1.0,-,-,1.0,678.1729184922409,0.9891843328368772,-52.47562761797439
188,0.05,711.0,Sobol2,RBF,1.0,-,-,-,27.82661510181783,0.0221163054448602,0.9076792304943714
189,0.05,711.0,Sobol2,Matern,1.0,1.5,-,-,20.3406327894684,0.0162163930982672,0.9506704023729764
190,0.05,711.0,Sobol2,RQ,1.0,-,1.0,-,20.07038830289,0.0166518108628197,0.9519724753344464
191,0.05,711.0,Sobol2,ESS,1.0,-,-,1.0,680.8027336817566,0.9930635986727708,-54.26131762464292
192,0.05,985.0,Grid1296,RBF,1.0,-,-,-,438.0562273756957,0.5720799987735102,-17.489860464678344
193,0.05,985.0,Grid1296,Matern,1.0,1.5,-,-,67.63386114717493,0.0613679738167744,0.5592398932100436
194,0.05,985.0,Grid1296,RQ,1.0,-,1.0,-,49.445099105836455,0.0580984800211815,0.7644297624258874
195,0.05,985.0,Grid1296,ESS,1.0,-,-,1.0,670.7340460970639,0.9789564288682208,-42.34855443329212
196,0.05,985.0,Grid2401,RBF,1.0,-,-,-,507.67794655002217,0.6986220351861749,-22.29978471496271
197,0.05,985.0,Grid2401,Matern,1.0,1.5,-,-,38.14675173409339,0.0453794142566113,0.8684501255964825
198,0.05,985.0,Grid2401,RQ,1.0,-,1.0,-,87.79567104195503,0.0932469290003135,0.3031785399776926
199,0.05,985.0,Grid2401,ESS,1.0,-,-,1.0,653.9732361737682,0.9605519541458134,-37.66297444529275
200,0.05,985.0,Sobol1,RBF,1.0,-,-,-,24.266126426832464,0.0199285223272953,0.930857896143986
201,0.05,985.0,Sobol1,Matern,1.0,1.5,-,-,20.1307514910682,0.0157679652144999,0.9524159225774684
202,0.05,985.0,Sobol1,RQ,1.0,-,1.0,-,20.826669978522915,0.017274514640822,0.9490691002364304
203,0.05,985.0,Sobol1,ESS,1.0,-,-,1.0,683.4752585983815,0.999987357180904,-53.85134410248244
204,0.05,985.0,Sobol2,RBF,1.0,-,-,-,28.11266179827804,0.0221465989197378,0.9062692633492276
205,0.05,985.0,Sobol2,Matern,1.0,1.5,-,-,20.17276529644408,0.0160144369792083,0.9517375943432465
206,0.05,985.0,Sobol2,RQ,1.0,-,1.0,-,19.9399773460799,0.0165999891460909,0.9528450362355368
207,0.05,985.0,Sobol2,ESS,1.0,-,-,1.0,678.070317799463,0.986910182701795,-53.52900358488999
208,0.05,171.0,Grid1296,RBF,1.0,-,-,-,679.2474771468923,1.0,-43.403580838335714
209,0.05,171.0,Grid1296,Matern,1.0,1.5,-,-,67.5319503711406,0.0613992275472379,0.5610849107195182
210,0.05,171.0,Grid1296,RQ,1.0,-,1.0,-,49.83118164178586,0.0584491248482897,0.7610184918029358
211,0.05,171.0,Grid1296,ESS,1.0,-,-,1.0,440.5478124923719,0.5762316301122562,-17.678759249209897
212,0.05,171.0,Grid2401,RBF,1.0,-,-,-,671.3201359578949,1.0,-39.68702598158225
213,0.05,171.0,Grid2401,Matern,1.0,1.5,-,-,36.03044071906446,0.0430955007202196,0.8827978044756207
214,0.05,171.0,Grid2401,RQ,1.0,-,1.0,-,88.16088646531938,0.0936512158232052,0.2983048167616794
