,ratio,rndint,dataset,kernel,rmse,mape,r2
0,0.05,272.0,Grid1296,ESS,673.3496801570409,1.0,-171.6655739945903
1,0.05,111.0,Grid1296,ESS,665.6515609259687,1.0,-54.07024893665013
2,0.05,249.0,Grid1296,RQ,19.690269082890964,0.0158134267383597,0.9480257881511505
3,0.05,111.0,Grid1296,Matern,8.286063146540394,0.00875472464354241,0.9914666490443649
4,0.05,272.0,Grid1296,RQ,10.194754517526741,0.010192158281564825,0.9604197998662406
5,0.05,111.0,Grid1296,RBF,43.55209503356879,0.035618187816350115,0.7642556828040779
6,0.05,294.0,Grid1296,ESS,657.4132717784967,0.9585222420566676,-76.64861948508073
7,0.05,111.0,Grid1296,RQ,23.160323517169857,0.020285628063680942,0.9333327757411618
8,0.05,294.0,Grid1296,Matern,6.947850699844044,0.007860726717774514,0.9913272313989399
9,0.05,147.0,Grid1296,ESS,18.087896824897598,0.018205966905423233,0.9413809581527662
10,0.05,294.0,Grid1296,RBF,12.720406995502374,0.014673319561427629,0.9709290771772768
11,0.05,147.0,Grid1296,Matern,5.953969151795178,0.006481069538258257,0.9936485083477268
12,0.05,294.0,Grid1296,RQ,18.063837880692958,0.015801387782789358,0.9413758096266218
13,0.05,147.0,Grid1296,RBF,18.087903281454775,0.018205972284161428,0.9413809163040906
14,0.05,297.0,Grid1296,ESS,621.412893634098,0.8982280328088831,-60.82178674827308
15,0.05,147.0,Grid1296,RQ,14.623771793293084,0.011262094721527116,0.9616838933289911
16,0.05,297.0,Grid1296,Matern,5.424277891482277,0.0067021914676096295,0.9952895229303943
17,0.05,16.0,Grid1296,ESS,573.6547001812991,0.7781354582739245,-99.55746228903094
18,0.05,297.0,Grid1296,RBF,676.0609073545603,1.0,-72.17330654759992
19,0.05,16.0,Grid1296,Matern,4.94970527368638,0.006014114175876483,0.9925136199216565
20,0.05,297.0,Grid1296,RQ,12.069643885911407,0.010087505424296869,0.9766777769084534
21,0.05,16.0,Grid1296,RBF,16.19281645464244,0.01629089946101287,0.9198768567231232
22,0.05,510.0,Grid1296,ESS,680.7379472583281,1.0,-94.48252461116668
23,0.05,16.0,Grid1296,RQ,6.9272999394339605,0.006863649153312666,0.9853363807081605
24,0.05,35.0,Grid1296,ESS,25.01803094624499,0.03222792025501708,0.9163061305886954
25,0.05,171.0,Grid1296,ESS,22.74327274369753,0.02590020301684869,0.9112760474536724
26,0.05,35.0,Grid1296,Matern,9.973360880321957,0.011132723372533538,0.9866994235350052
27,0.05,171.0,Grid1296,Matern,10.463765867078504,0.009273747836189927,0.9812193340188435
28,0.05,35.0,Grid1296,RBF,31.708366009217702,0.028550728364982982,0.865557951425131
29,0.05,171.0,Grid1296,RBF,672.2244448311277,1.0,-76.5110399947201
30,0.05,35.0,Grid1296,RQ,23.470841361364617,0.02229629705466608,0.926337795419128
31,0.05,171.0,Grid1296,RQ,23.91692638255284,0.0183874507921141,0.9018826759421417
32,0.05,390.0,Grid1296,ESS,35.24481885363718,0.029532270229131876,0.8015855680357734
33,0.05,180.0,Grid1296,ESS,42.71938154861866,0.04135571531994791,0.778603287040723
34,0.05,390.0,Grid1296,Matern,10.129180049593096,0.00940961682860281,0.9836117992864706
35,0.05,180.0,Grid1296,Matern,10.526496665651765,0.010925497055268277,0.9865572237617081
36,0.05,390.0,Grid1296,RBF,35.24481748739836,0.029532269989054744,0.8015855834185447
37,0.05,180.0,Grid1296,RBF,660.6058322360728,0.9999999999999157,-51.94269712958549
38,0.05,390.0,Grid1296,RQ,19.472689239324062,0.014460300391390563,0.9394332097670037
39,0.05,180.0,Grid1296,RQ,28.131680351897124,0.02447253181083562,0.9039908547398364
40,0.05,395.0,Grid1296,ESS,23.218345463856824,0.025720915506631862,0.9194920838496214
41,0.05,222.0,Grid1296,ESS,16.986704782642803,0.018339587975672467,0.9460776799607735
42,0.05,395.0,Grid1296,Matern,7.071184536321311,0.007787519559396585,0.9925327551774262
43,0.05,222.0,Grid1296,Matern,5.197202220830894,0.005869419886422361,0.994952346646307
44,0.05,395.0,Grid1296,RBF,23.21834734273458,0.025720918022621584,0.9194920708198783
45,0.05,222.0,Grid1296,RBF,677.7058471668669,1.0,-84.82874393742884
46,0.05,395.0,Grid1296,RQ,19.909353256683385,0.01825135460261445,0.9408042737602521
47,0.05,222.0,Grid1296,RQ,13.859061750107905,0.01046646706760501,0.9641063229400207
48,0.05,48.0,Grid1296,ESS,34.06241376248593,0.026530062773019964,0.8170315707234035
49,0.05,237.0,Grid1296,ESS,33.85847991147756,0.026435864095375832,0.8312028141605929
50,0.05,48.0,Grid1296,Matern,6.1649042367393125,0.006519745852522597,0.9940065347827811
51,0.05,237.0,Grid1296,Matern,11.327855649684782,0.011423928090938217,0.9811059221082321
52,0.05,48.0,Grid1296,RBF,34.06241380136122,0.02653006279582596,0.8170315703057613
53,0.05,237.0,Grid1296,RBF,659.424362644377,0.9999999999999959,-63.02657426323961
54,0.05,48.0,Grid1296,RQ,17.176888804076878,0.01227745476604985,0.9534720060823149
55,0.05,237.0,Grid1296,RQ,25.109045643758773,0.02235838005238359,0.9071694974924255
56,0.05,490.0,Grid1296,ESS,665.7397915622032,1.0,-115.52802310081594
57,0.05,249.0,Grid1296,ESS,673.4854852193071,0.9816633247635904,-59.805251722072825
58,0.05,490.0,Grid1296,Matern,4.795657114056086,0.005975191536724731,0.9939533115173542
59,0.05,249.0,Grid1296,Matern,8.42367418469154,0.008454652663879942,0.9904876519756781
60,0.05,490.0,Grid1296,RBF,12.969341592371073,0.014758365195279318,0.9557760830885607
61,0.05,249.0,Grid1296,RBF,684.5032927066923,1.0,-61.81099788839065
62,0.05,272.0,Grid1296,Matern,6.021537811977345,0.0068821097896419586,0.986191729821803
63,0.05,490.0,Grid1296,RQ,11.960046348906504,0.010442637761922776,0.9623914081586269
64,0.05,272.0,Grid1296,RBF,23.81196712608227,0.024607455720814842,0.7840690034976499
65,0.05,669.0,Sobol1,RQ,14.543963742357574,0.014008777478899774,0.9846341850181803
66,0.05,510.0,Grid1296,Matern,5.553727955858784,0.006442911840306501,0.993644742133283
67,0.05,510.0,Grid1296,RBF,20.936853161199583,0.021634177589255125,0.9096794057341665
68,0.05,510.0,Grid1296,RQ,11.064155105547163,0.009147378387042049,0.9747767826150513
69,0.05,530.0,Grid1296,ESS,20.058603878089457,0.022776113082331746,0.9296076364222291
70,0.05,530.0,Grid1296,Matern,6.85636448181141,0.008310959793324295,0.9917754539434274
71,0.05,530.0,Grid1296,RBF,20.05866948360485,0.022776187561437844,0.9296071759579941
72,0.05,530.0,Grid1296,RQ,16.68454138914168,0.015174295523758539,0.9512973389355719
73,0.05,554.0,Grid1296,ESS,17.820764286751967,0.018472616455271176,0.9425403834810715
74,0.05,554.0,Grid1296,Matern,5.821849447881437,0.007097462655289503,0.9938675782910075
75,0.05,554.0,Grid1296,RBF,17.820764816385196,0.018472617129988784,0.9425403800656711
76,0.05,554.0,Grid1296,RQ,11.694949896773334,0.01035356800746481,0.9752538977786402
77,0.05,561.0,Grid1296,ESS,688.141323016262,1.0,-86.25020260884048
78,0.05,561.0,Grid1296,Matern,5.737224224308995,0.0060772986135059414,0.9939352233035296
79,0.05,561.0,Grid1296,RBF,18.506958180596076,0.01835347561180903,0.9368924594302294
80,0.05,561.0,Grid1296,RQ,8.637863547704038,0.0070078698204037665,0.9862524962639689
81,0.05,562.0,Grid1296,ESS,16.166366903813163,0.016165778158437293,0.9469618007014681
82,0.05,562.0,Grid1296,Matern,6.218724362085115,0.006712692061422139,0.9921518639341843
83,0.05,562.0,Grid1296,RBF,701.2871930539457,1.0,-98.80578719947447
84,0.05,562.0,Grid1296,RQ,8.717708002457275,0.008335590685316077,0.9845770111234722
85,0.05,582.0,Grid1296,ESS,27.42123336412201,0.03281471506595466,0.8972196279672704
86,0.05,582.0,Grid1296,Matern,7.784273299698896,0.008976678143951628,0.9917172917063363
87,0.05,582.0,Grid1296,RBF,20.569363476946386,0.024322336610049178,0.9421667070766269
88,0.05,582.0,Grid1296,RQ,19.847997927163455,0.017438245319205826,0.9461519937914235
89,0.05,588.0,Grid1296,ESS,3.6787837790618965,0.004280530175763848,0.9963850511320869
90,0.05,588.0,Grid1296,Matern,5.57570584851784,0.006490304381903928,0.991695885262364
91,0.05,588.0,Grid1296,RBF,36.31933673881142,0.027718694378203266,0.6476539146627595
92,0.05,588.0,Grid1296,RQ,5.947857180243785,0.006242127786522617,0.9905503723420503
93,0.05,593.0,Grid1296,ESS,18.805078047206422,0.022469055882180712,0.9607793920273435
94,0.05,593.0,Grid1296,Matern,10.142282665329741,0.009785856118777872,0.9885913183566026
95,0.05,593.0,Grid1296,RBF,18.805085935876964,0.022469063567985528,0.9607793591214956
96,0.05,593.0,Grid1296,RQ,22.359218663781053,0.018340886966492588,0.9445530977759139
97,0.05,633.0,Grid1296,ESS,674.6267533586225,0.9999598089875913,-86.77822515612795
98,0.05,633.0,Grid1296,Matern,674.6530047519835,0.9999999999982252,-86.78505662416164
99,0.05,633.0,Grid1296,RBF,674.6530047532107,1.0,-86.785056624481
100,0.05,633.0,Grid1296,RQ,13.471472486768656,0.012730446703802625,0.9649982456385382
101,0.05,634.0,Grid1296,ESS,18.133935784219613,0.01980091030742897,0.9496956631517407
102,0.05,634.0,Grid1296,Matern,5.60004430343845,0.006020707855534328,0.9952026190430161
103,0.05,634.0,Grid1296,RBF,18.133936232922874,0.019800910735614106,0.9496956606622954
104,0.05,634.0,Grid1296,RQ,14.431191017873962,0.012251035331633351,0.9681414774259773
105,0.05,669.0,Grid1296,ESS,29.870377102977713,0.030433417945552932,0.8756709489561312
106,0.05,669.0,Grid1296,Matern,4.929860132894917,0.005644367214446688,0.996613427294863
107,0.05,669.0,Grid1296,RBF,19.85551279745833,0.02297235875139071,0.9450644567422635
108,0.05,669.0,Grid1296,RQ,17.780987470217127,0.015524715569066027,0.9559442134019976
109,0.05,678.0,Grid1296,ESS,675.829367580956,1.0,-77.87492475451407
110,0.05,678.0,Grid1296,Matern,6.2214445788594945,0.007310878182713343,0.9933158326921196
111,0.05,678.0,Grid1296,RBF,20.837523833160386,0.023444369952720145,0.9250179935451014
112,0.05,678.0,Grid1296,RQ,17.482793759751548,0.0140063847521473,0.9472179192065685
113,0.05,711.0,Grid1296,ESS,641.6132623864983,0.9580021693585012,-99.10974670088628
114,0.05,711.0,Grid1296,Matern,5.419935314874099,0.006595865854748603,0.9928563872367571
115,0.05,711.0,Grid1296,RBF,668.7706793170292,1.0,-107.76374329274736
116,0.05,711.0,Grid1296,RQ,12.41752488818172,0.010513516602674603,0.9625027191199668
117,0.05,721.0,Grid1296,ESS,650.5561420683241,1.0,-62.29593616370372
118,0.05,721.0,Grid1296,Matern,7.942998519824796,0.009126795577954355,0.9905642760272786
119,0.05,721.0,Grid1296,RBF,650.5561420683241,1.0,-62.29593616370372
120,0.05,721.0,Grid1296,RQ,28.02381343997508,0.024718039487167727,0.882547914976296
121,0.05,725.0,Grid1296,ESS,15.130359669944943,0.01578768951404916,0.9308814187069457
122,0.05,725.0,Grid1296,Matern,4.965052613975568,0.00556185792394199,0.992557068508908
123,0.05,725.0,Grid1296,RBF,16.12277165008085,0.016624517378056574,0.921516977947607
124,0.05,725.0,Grid1296,RQ,7.277256544827204,0.006904652812062908,0.9840106178564456
125,0.05,731.0,Grid1296,ESS,659.2333062796018,0.9765880124771605,-82.6885741502561
126,0.05,731.0,Grid1296,Matern,7.515728890755457,0.007888569104889644,0.9891224748005694
127,0.05,731.0,Grid1296,RBF,36.14412944436387,0.030622912577529394,0.7484273500308929
128,0.05,731.0,Grid1296,RQ,17.822951298923627,0.015426880201586292,0.9388287820801509
129,0.05,759.0,Grid1296,ESS,25.458139623647416,0.022193159881184754,0.8084809694545021
130,0.05,759.0,Grid1296,Matern,6.14140418842495,0.007521512934416884,0.9888546434028217
131,0.05,759.0,Grid1296,RBF,673.5809095754438,1.0,-133.0720181396594
132,0.05,759.0,Grid1296,RQ,11.442639650286187,0.010799110294751637,0.9613089024507246
133,0.05,75.0,Grid1296,ESS,670.9425366763243,1.0,-74.39968892170991
134,0.05,75.0,Grid1296,Matern,9.551733060889713,0.008299772216940242,0.9847185960801292
135,0.05,75.0,Grid1296,RBF,670.9425366763243,1.0,-74.39968892170991
136,0.05,75.0,Grid1296,RQ,21.350161947666578,0.01715532993345275,0.9236513699576645
137,0.05,78.0,Grid1296,ESS,668.1716695718463,1.0,-38.336629210358154
138,0.05,78.0,Grid1296,Matern,12.79640561937777,0.013424417397687483,0.9855723026828994
139,0.05,78.0,Grid1296,RBF,37.55411017183331,0.03753440891933261,0.8757386753766826
140,0.05,78.0,Grid1296,RQ,33.1853677307235,0.03186245665659016,0.9029681535538816
141,0.05,791.0,Grid1296,ESS,699.9115087447663,1.0,-112.59163624561369
142,0.05,791.0,Grid1296,Matern,4.9227222561229365,0.005448316238890028,0.9943808483577785
143,0.05,791.0,Grid1296,RBF,15.590139723179169,0.014788682480712618,0.9436414123773988
144,0.05,791.0,Grid1296,RQ,5.259204898659087,0.005303310855001109,0.9935864236596422
145,0.05,794.0,Grid1296,ESS,668.3773786651681,1.0,-100.39993837382308
146,0.05,794.0,Grid1296,Matern,668.3773786651681,1.0,-100.39993837382308
147,0.05,794.0,Grid1296,RBF,668.3773786651681,1.0,-100.39993837382308
148,0.05,794.0,Grid1296,RQ,11.593532963841024,0.009596559535632562,0.969491152083416
149,0.05,816.0,Grid1296,ESS,688.9627798067697,1.0,-47.696735932672
150,0.05,816.0,Grid1296,Matern,10.991504640944154,0.011514240655345806,0.9876056822323357
