,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
0,0.05,297.0,Grid1296,RBF,0.0,1.0,707.0,707.0
1,0.05,297.0,Grid1296,Matern,711.2632540454802,0.46481399446856536,707.0,-4.263254045480153
2,0.05,297.0,Grid1296,RQ,711.4531071019408,0.6790369329211051,707.0,-4.453107101940759
3,0.05,297.0,Grid1296,ESS,69.35131973671707,0.9962209158603427,707.0,637.6486802632829
4,0.05,297.0,Grid2401,RBF,0.0,1.0,707.0,707.0
5,0.05,297.0,Grid2401,Matern,698.7956593388659,0.4730408931631,707.0,8.204340661134097
6,0.05,297.0,Grid2401,RQ,750.6555277329077,0.7227436254843557,707.0,-43.65552773290767
7,0.05,297.0,Grid2401,ESS,170.6253223242059,0.9864069031448011,707.0,536.3746776757941
8,0.05,297.0,Sobol1,RBF,0.0,1.0,707.0,707.0
9,0.05,297.0,Sobol1,Matern,719.9394392775416,0.13666221045894963,707.0,-12.939439277541624
10,0.05,297.0,Sobol1,RQ,715.9092400241965,0.3718765322511078,707.0,-8.909240024196492
11,0.05,297.0,Sobol1,ESS,0.0,1.0,707.0,707.0
12,0.05,297.0,Sobol2,RBF,0.0,1.0,707.0,707.0
13,0.05,297.0,Sobol2,Matern,724.4951003813017,0.20325701481389882,707.0,-17.495100381301654
14,0.05,297.0,Sobol2,RQ,714.0700838811449,0.49876325681435496,707.0,-7.07008388114491
15,0.05,297.0,Sobol2,ESS,5.954080888438102e-16,1.0,707.0,707.0
16,0.05,711.0,Grid1296,RBF,0.0,1.0,707.0,707.0
17,0.05,711.0,Grid1296,Matern,711.4811408970818,0.4682395543714362,707.0,-4.4811408970817865
18,0.05,711.0,Grid1296,RQ,711.6353010758439,0.6794259133799471,707.0,-4.635301075843927
19,0.05,711.0,Grid1296,ESS,36.4347718245242,0.9983379963562153,707.0,670.5652281754758
20,0.05,711.0,Grid2401,RBF,0.0,1.0,707.0,707.0
21,0.05,711.0,Grid2401,Matern,700.8800000356293,0.46007555315041904,707.0,6.119999964370663
22,0.05,711.0,Grid2401,RQ,749.9395656498151,0.7139501923574567,707.0,-42.93956564981511
