,ratio,index,dataset,time [hrs],rmse,r2
0,0.05,1.0,Grid1296,0.10877007491058774,370.6477297635495,-12.224963978249388
1,0.05,1.0,Grid2401,0.5314835431178411,472.65140819011964,-19.3033848677011
2,0.05,1.0,Sobol1,0.7552380649248759,21.423536347754073,0.9467094202709965
3,0.05,1.0,Sobol2,0.8911513588163588,25.987783657110374,0.9193238306438405
4,0.05,2.0,Grid1296,0.33541121118598516,371.0229738485797,-12.249890529254074
5,0.05,2.0,Grid2401,0.5890320947435167,479.9170974706976,-19.77080977271341
6,0.05,2.0,Sobol1,2.387512471874555,22.016996759224682,0.9434290499379351
7,0.05,2.0,Sobol2,2.321340706149737,25.060744878108416,0.9249990748185053
8,0.05,3.0,Grid1296,0.1126568196217219,353.2085467939108,-10.992146082092088
9,0.05,3.0,Grid2401,0.8558819096618229,494.75568558904916,-21.184232923514134
10,0.05,3.0,Sobol1,0.7972089621755812,21.40739974783996,0.9469079009407968
11,0.05,3.0,Sobol2,1.0942126052909427,26.626130663068476,0.9156716578935992
12,0.05,4.0,Grid1296,0.2831664934423235,373.6062248020357,-12.40358313903694
13,0.05,4.0,Grid2401,0.8720984157588747,479.90239394356723,-19.830598492318934
14,0.05,4.0,Sobol1,2.8750476058986454,21.59460964961511,0.9467771791787831
15,0.05,4.0,Sobol2,2.6217071568303636,25.437036261363954,0.9230251832645716
16,0.05,5.0,Grid1296,0.08428859770298004,349.52893011741065,-10.758463914939307
17,0.05,5.0,Grid2401,0.6455872790018717,493.5044447631583,-21.15444333829983
18,0.05,5.0,Sobol1,0.5644260489940643,21.258858685770637,0.9477154838658666
19,0.05,5.0,Sobol2,1.0110221211777792,24.139892436542894,0.93059869758155
20,0.05,6.0,Grid1296,0.15863357411490547,356.0935700843794,-11.18556677296196
21,0.05,6.0,Grid2401,0.825373341176245,487.8156941166469,-20.570925711072356
22,0.05,6.0,Sobol1,2.007482077081998,21.222026590803157,0.9479287545233364
23,0.05,6.0,Sobol2,2.1646642333269117,25.11667481217478,0.9240221477344274
24,0.05,7.0,Grid1296,0.09550240616003672,358.8116903036438,-11.411227511706745
25,0.05,7.0,Grid2401,0.2670526130331887,486.79518104909573,-20.4517575850932
26,0.05,7.0,Sobol1,0.8779515382316377,21.85038736746631,0.9444871805370267
27,0.05,7.0,Sobol2,1.0619778584771686,141.2593919652941,-1.37910340762626
28,0.05,8.0,Grid1296,0.11337485127978855,349.3684151100121,-10.769624636494886
29,0.05,8.0,Grid2401,0.8029468327760696,478.42266995986495,-19.738574294251038
