,ratio,rndint,dataset,kernel,time [hrs],rmse,r2
0,0.05,877.0,Grid1296,RBF,0.0019552111625671387,434.66260362304564,-17.208298016833517
1,0.05,877.0,Grid1296,Matern,0.0019021105766296386,67.3732210335365,0.562538920176676
2,0.05,877.0,Grid1296,RQ,0.01614660554462009,49.678265324548335,0.7621530185868325
3,0.05,877.0,Grid1296,ESS,0.0035031558407677544,428.95934269745345,-16.733606238370676
4,0.05,877.0,Grid2401,RBF,0.010847179094950359,512.564630893602,-22.760636755060855
5,0.05,877.0,Grid2401,Matern,0.005341606007681953,40.347898984262656,0.8527678496009045
6,0.05,877.0,Grid2401,RQ,0.04419599440362718,88.02337624377206,0.2992600942618996
7,0.05,877.0,Grid2401,ESS,0.009287271102269491,512.0601016494908,-22.71388348580351
8,0.05,877.0,Sobol1,RBF,0.00927443352010515,24.113568538770288,0.9323765579073985
9,0.05,877.0,Sobol1,Matern,0.006776005758179559,20.17479077381601,0.9526639101939011
10,0.05,877.0,Sobol1,RQ,0.06731778879960378,20.833729845881336,0.9495212772154465
11,0.05,877.0,Sobol1,ESS,0.02161105195681254,23.440793245989635,0.9360973439093182
12,0.05,877.0,Sobol2,RBF,0.006528435879283481,27.972385885188967,0.9058832925249454
13,0.05,877.0,Sobol2,Matern,0.005117962625291612,20.23447205702712,0.9507516755588865
14,0.05,877.0,Sobol2,RQ,0.0446866641441981,19.8851800558442,0.952437271601309
15,0.05,877.0,Sobol2,ESS,0.01054792477024926,27.523546569168488,0.9088794162861626
16,0.05,147.0,Grid1296,RBF,0.0011018627219729954,435.0656002854737,-17.218817176824416
17,0.05,147.0,Grid1296,Matern,0.002096832858191596,67.45281258411471,0.5620638335806967
18,0.05,147.0,Grid1296,RQ,0.018463131454255845,49.418548824051385,0.7649335425582323
19,0.05,147.0,Grid1296,ESS,0.0020928273598353067,435.0654963575586,-17.218808472649883
20,0.05,147.0,Grid2401,RBF,0.0020968663030200532,671.4658651250305,-39.660139365744655
21,0.05,147.0,Grid2401,Matern,0.0039674547645780775,35.25969787446974,0.887881273281905
22,0.05,147.0,Grid2401,RQ,0.04586581693755256,87.91874078306614,0.3029179460203242
23,0.05,147.0,Grid2401,ESS,0.004966273042890761,505.4332788952099,-22.0382056458729
24,0.05,147.0,Sobol1,RBF,0.0060887765222125585,24.621188822817956,0.9292550648115531
25,0.05,147.0,Sobol1,Matern,0.007447917660077413,20.299971159419187,0.9519085183743714
26,0.05,147.0,Sobol1,RQ,0.07556403855482738,21.005006648200943,0.9485099916695987
27,0.05,147.0,Sobol1,ESS,0.025119323333104453,24.62118006896304,0.9292551151170678
28,0.05,147.0,Sobol2,RBF,0.004317189123895433,28.003563261645095,0.9063505433985858
29,0.05,147.0,Sobol2,Matern,0.005705383751127455,20.274642412205978,0.9509108992497054
30,0.05,147.0,Sobol2,RQ,0.04445413026544783,19.965173113677665,0.9523980405047067
31,0.05,147.0,Sobol2,ESS,0.007521442439821032,28.003554647220994,0.9063506010152543
32,0.05,951.0,Grid1296,RBF,0.0012314836184183755,439.4354188226391,-17.54312057457366
33,0.05,951.0,Grid1296,Matern,0.0012768469254175823,67.27953129269626,0.5653310481655414
34,0.05,951.0,Grid1296,RQ,0.020206846793492637,49.81792403377136,0.7616780973157866
35,0.05,951.0,Grid1296,ESS,0.000981265902519226,679.3285485309442,-43.315171813803836
36,0.05,951.0,Grid2401,RBF,0.007447641491889954,505.85093693693216,-22.144139201728674
37,0.05,951.0,Grid2401,Matern,0.0048437091377046375,38.57419566463916,0.8654171647180026
38,0.05,951.0,Grid2401,RQ,0.048568903274006314,88.00371989949592,0.2995163942494148
39,0.05,951.0,Grid2401,ESS,0.0024782327148649428,671.2444274174221,-39.752785799206436
40,0.05,951.0,Sobol1,RBF,0.005470813446574741,23.58698768431631,0.9365031570128953
41,0.05,951.0,Sobol1,Matern,0.008407189117537604,20.13085862985637,0.9537478665028389
42,0.05,951.0,Sobol1,RQ,0.06894698275460137,20.96905633508846,0.9498160380302151
43,0.05,951.0,Sobol1,ESS,0.018635572923554316,683.4291342863086,-52.30821612211563
44,0.05,951.0,Sobol2,RBF,0.003806217114130656,28.482282327227804,0.9034915769160928
45,0.05,951.0,Sobol2,Matern,0.006171902947955661,20.435387350093357,0.9503200221359162
46,0.05,951.0,Sobol2,RQ,0.050081162717607285,20.040133675111598,0.952223220299512
47,0.05,951.0,Sobol2,ESS,0.002703914576106601,680.3919230259406,-54.072392553294904
48,0.05,395.0,Grid1296,RBF,0.0013867652416229249,433.1698955201564,-17.043103587329014
49,0.05,395.0,Grid1296,Matern,0.002880548768573337,67.64942377212704,0.5599288348892937
50,0.05,395.0,Grid1296,RQ,0.01668831275569068,49.98563731430717,0.7597379506389513
51,0.05,395.0,Grid1296,ESS,0.002285369767083062,433.1698788896217,-17.043102201884388
52,0.05,395.0,Grid2401,RBF,0.01266773005326589,508.10095777423663,-22.403997456884348
53,0.05,395.0,Grid2401,Matern,0.006502060227923923,37.331552492533625,0.8736596378647727
54,0.05,395.0,Grid2401,RQ,0.044210793839560614,87.87654986580642,0.29993879613985786
55,0.05,395.0,Grid2401,ESS,0.007850258747736613,508.10094364419,-22.40399615517623
56,0.05,395.0,Sobol1,RBF,0.017609760827488368,23.509888999354686,0.9357999329241141
57,0.05,395.0,Sobol1,Matern,0.011666948464181688,19.996593025106396,0.9535542114959946
58,0.05,395.0,Sobol1,RQ,0.06218681282467312,20.80418806287443,0.9497268767896546
59,0.05,395.0,Sobol1,ESS,0.025416714946428935,23.509887268567496,0.9357999423768725
60,0.05,395.0,Sobol2,RBF,0.010186916457282173,29.33397818621182,0.8981197470742355
61,0.05,395.0,Sobol2,Matern,0.008913855751355488,20.323755784615173,0.9510946895171057
62,0.05,395.0,Sobol2,RQ,0.03581756525569492,19.940533782429007,0.952921605441455
63,0.05,395.0,Sobol2,ESS,0.005345629122522142,29.333973410460707,0.8981197802476897
64,0.05,297.0,Grid1296,RBF,0.0006153684854507446,679.2860762100878,-43.39118951756652
65,0.05,297.0,Grid1296,Matern,0.0010507616731855603,67.27653906572488,0.564569705836955
66,0.05,297.0,Grid1296,RQ,0.005174559487236871,49.53420086540414,0.7639512640125903
67,0.05,297.0,Grid1296,ESS,0.001299012369579739,585.03885884725,-31.927653571845276
68,0.05,297.0,Grid2401,RBF,0.001890593104892307,671.2710492092791,-39.82288148451677
