,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.8,678.0,Sobol2,0.001,100.0,104.34997036582546,0.13494108342810682,-0.15680103721226946
1,0.8,147.0,Sobol2,0.001,98.0,110.32336184853001,0.1444117756266343,-0.3114744953452032
2,0.8,561.0,Sobol2,0.001,100.0,102.23571857653167,0.13119503581210187,-0.11001350686650763
3,0.8,237.0,Sobol2,0.001,100.0,102.23180349249589,0.12761580904847697,-0.1188485073518
4,0.8,588.0,Sobol2,0.001,100.0,101.02193571391858,0.12791016697883606,-0.1058131317786684
5,0.8,951.0,Sobol2,0.001,100.0,102.68307976973684,0.13121425046732552,-0.11878338211462632
6,0.8,490.0,Sobol2,0.001,100.0,101.38675488923725,0.12851899979930176,-0.09848616062541997
7,0.8,395.0,Sobol2,0.001,100.0,99.71303397730777,0.12552384522400403,-0.050214315962157904
8,0.8,877.0,Sobol2,0.001,100.0,109.07979824668483,0.14304968244151064,-0.27575959405387546
9,0.8,297.0,Sobol2,0.001,100.0,101.10173235441509,0.12762185617497093,-0.06579702052784474
10,0.8,721.0,Sobol2,0.001,95.0,104.96229633532073,0.13584361068512263,-0.16944334181627257
11,0.8,711.0,Sobol2,0.001,100.0,105.26022097938939,0.13752482988332448,-0.1806373074390331
12,0.8,985.0,Sobol2,0.001,100.0,104.34755184775905,0.13592879238881564,-0.14572977045357877
13,0.8,171.0,Sobol2,0.001,100.0,103.49158879330284,0.1321539827867558,-0.14551180799056568
14,0.8,75.0,Sobol2,0.001,100.0,104.20499299701892,0.1339073318399881,-0.1479602016003386
15,0.8,16.0,Sobol2,0.001,100.0,104.97415080823396,0.13354905224160143,-0.1708173690902257
16,0.8,669.0,Sobol2,0.001,100.0,100.7045011018452,0.1232162796353039,-0.06507703592040164
17,0.8,530.0,Sobol2,0.001,100.0,97.97469771535773,0.12336368741173494,-0.018636798336588958
18,0.8,999.0,Sobol2,0.001,100.0,103.77395228335732,0.13401688831417183,-0.16376072819175447
19,0.8,794.0,Sobol2,0.001,100.0,99.00938375372635,0.12313833009255559,-0.038370793015775305
20,0.8,936.0,Sobol2,0.001,100.0,102.84157281172902,0.1321870453263584,-0.13702329533587865
21,0.8,111.0,Sobol2,0.001,100.0,101.21435105173211,0.12729521683956446,-0.08940473945134046
22,0.8,816.0,Sobol2,0.001,100.0,103.43688442832546,0.13289273491031245,-0.15416543255276258
23,0.8,968.0,Sobol2,0.001,99.0,121.58168832879318,0.16062176933414057,-0.5776403380010998
24,0.8,48.0,Sobol2,0.001,100.0,95.42008771394428,0.11162568432720084,0.027074634585996262
25,0.8,986.0,Sobol2,0.001,100.0,103.39391929224918,0.1343807291827704,-0.14941654533804616
26,0.8,829.0,Sobol2,0.001,98.0,105.15708039936267,0.1362736923129935,-0.16870974139495087
27,0.8,996.0,Sobol2,0.001,100.0,99.59810758891858,0.12583775896775096,-0.044939183590084954
28,0.8,272.0,Sobol2,0.001,94.0,102.68305688155324,0.13136425261434756,-0.12595615875699273
29,0.8,759.0,Sobol2,0.001,100.0,107.70208378842003,0.13885622667638878,-0.23694922909926955
30,0.8,390.0,Sobol2,0.001,100.0,100.48829931961863,0.1261084518934551,-0.07504374207885536
31,0.8,930.0,Sobol2,0.001,100.0,100.70617756090667,0.12723655528143832,-0.10233088325241631
32,0.8,633.0,Sobol2,0.001,100.0,94.36170397306743,0.11341676704193417,0.06551002337985933
33,0.8,928.0,Sobol2,0.001,100.0,102.5931127447831,0.1315412097855618,-0.11687871306047776
34,0.8,854.0,Sobol2,0.001,100.0,99.74265048378392,0.12666625960877068,-0.050987447636988516
35,0.8,554.0,Sobol2,0.001,100.0,101.5730952212685,0.12901010207439723,-0.10957497640445685
36,0.8,562.0,Sobol2,0.001,100.0,101.67914661608245,0.13009675984319888,-0.11212702156298758
37,0.8,78.0,Sobol2,0.001,100.0,104.1843799791838,0.13409308422552912,-0.16703829444289142
38,0.8,222.0,Sobol2,0.001,100.0,105.07930474532277,0.13514366079317897,-0.18519642059467553
39,0.8,294.0,Sobol2,0.001,100.0,459.3175530684622,0.6588035790543807,-21.632915810539632
40,0.8,725.0,Sobol2,0.001,100.0,104.27179276315789,0.132507707335447,-0.16260090908165606
41,0.8,582.0,Sobol2,0.001,100.0,103.66945166336863,0.1315774129409539,-0.13899320228963302
42,0.8,731.0,Sobol2,0.001,100.0,101.24505053068462,0.1281981401537594,-0.09655328561319376
43,0.8,249.0,Sobol2,0.001,100.0,99.95768175627056,0.1256160485117059,-0.058732097289796496
44,0.8,791.0,Sobol2,0.001,100.0,101.83464050292969,0.12490258601151015,-0.11117109026223204
45,0.8,35.0,Sobol2,0.001,87.0,116.1670355545847,0.1532837732842094,-0.44118112010091026
46,0.8,180.0,Sobol2,0.001,95.0,101.98655419600637,0.13210123267612958,-0.11090108266874132
47,0.8,510.0,Sobol2,0.001,100.0,104.35420789216694,0.13318515843466708,-0.18733645176836353
48,0.8,593.0,Sobol2,0.001,100.0,473.4869593570107,0.6809735705977992,-23.058249942889017
49,0.8,634.0,Sobol2,0.001,100.0,103.02778264095909,0.1332787836068555,-0.13009912178556818
