,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.05,678.0,Sobol1,0.001,1000.0,93.97862243652344,0.0992838069796562,-0.0313507045561679
1,0.05,147.0,Sobol1,0.001,1000.0,94.29297129313152,0.1000808378060658,-0.0295419940410653
2,0.05,561.0,Sobol1,0.001,1000.0,94.6516825358073,0.1005314787228902,-0.0289206920062701
3,0.05,237.0,Sobol1,0.001,1000.0,94.27459971110028,0.0999888330698013,-0.0288161332025114
4,0.05,588.0,Sobol1,0.001,1000.0,94.06285095214844,0.0992197394371032,-0.0357624668170684
5,0.05,951.0,Sobol1,0.001,1000.0,94.73848978678386,0.1005684336026509,-0.0307660696519211
6,0.05,490.0,Sobol1,0.001,1000.0,94.06079355875652,0.0997968142231305,-0.0279966215802893
7,0.05,395.0,Sobol1,0.001,1000.0,95.0302022298177,0.1011240681012471,-0.0299425220731228
8,0.05,877.0,Sobol1,0.001,1000.0,94.23245747884114,0.1003649532794952,-0.0306786253699689
9,0.05,297.0,Sobol1,0.001,1000.0,94.84129842122395,0.1010346362988154,-0.028644816052423
10,0.05,721.0,Sobol1,0.001,1000.0,94.85330454508464,0.1012357821067174,-0.0251983316534494
11,0.05,711.0,Sobol1,0.001,1000.0,94.54001363118488,0.101139744122823,-0.025313615408754
12,0.05,985.0,Sobol1,0.001,1000.0,93.23600006103516,0.0981651917099952,-0.0365504139837317
13,0.05,171.0,Sobol1,0.001,1000.0,93.3219477335612,0.0971687212586402,-0.006393912697765
14,0.05,75.0,Sobol1,0.001,1000.0,94.69452667236328,0.1006794398029645,-0.0287789215753277
15,0.05,16.0,Sobol1,0.001,1000.0,93.3674825032552,0.0984831129511197,-0.0326928419552077
16,0.05,669.0,Sobol1,0.001,1000.0,94.77331034342448,0.1012521709005038,-0.0251483949701221
17,0.05,530.0,Sobol1,0.001,1000.0,93.9178721110026,0.0996033698320388,-0.0297993439056116
18,0.05,999.0,Sobol1,0.001,1000.0,93.79671732584636,0.0995526115099589,-0.0301267383612845
19,0.05,794.0,Sobol1,0.001,1000.0,93.96754201253256,0.0996370663245519,-0.032165577151197
20,0.05,936.0,Sobol1,0.001,1000.0,93.72701772054036,0.0986935396989186,-0.0364514176498432
21,0.05,111.0,Sobol1,0.001,1000.0,93.8928934733073,0.0994485219319661,-0.0301978061257304
22,0.05,816.0,Sobol1,0.001,1000.0,94.43646240234376,0.1001752540469169,-0.0310372694930235
23,0.05,968.0,Sobol1,0.001,1000.0,94.98903910319012,0.1010842273632685,-0.032471785502564
24,0.05,48.0,Sobol1,0.001,1000.0,94.4110844930013,0.1000516762336095,-0.0338197016693679
25,0.05,986.0,Sobol1,0.001,1000.0,93.74691772460938,0.0981252466638882,-0.0262679629603262
26,0.05,829.0,Sobol1,0.001,1000.0,93.16324615478516,0.0985641181468963,-0.028785363276454
27,0.05,996.0,Sobol1,0.001,1000.0,94.67401123046876,0.1006828571359316,-0.028243786810212
28,0.05,272.0,Sobol1,0.001,1000.0,94.11359405517578,0.0996372078855832,-0.0351053625335909
29,0.05,759.0,Sobol1,0.001,1000.0,95.19473266601562,0.101232203344504,-0.0305322120562869
30,0.05,390.0,Sobol1,0.001,1000.0,93.67358652750652,0.09932708243529,-0.0290321308515707
31,0.05,930.0,Sobol1,0.001,1000.0,94.0317153930664,0.099168727795283,-0.0332856411597383
32,0.05,633.0,Sobol1,0.001,1000.0,93.71207173665364,0.0994370157519976,-0.0271386879699002
33,0.05,928.0,Sobol1,0.001,1000.0,94.23710378011069,0.0996955558657646,-0.0302932054781897
34,0.05,854.0,Sobol1,0.001,1000.0,94.35228729248048,0.0997072135408719,-0.0303922199421302
35,0.05,554.0,Sobol1,0.001,1000.0,93.73555246988931,0.0990944554408391,-0.0317002243471612
36,0.05,562.0,Sobol1,0.001,1000.0,93.64903767903644,0.0993078326185544,-0.0267538268105671
37,0.05,78.0,Sobol1,0.001,1000.0,94.27227020263672,0.0998514021436373,-0.0278775665501294
38,0.05,222.0,Sobol1,0.001,1000.0,94.0098876953125,0.0993565842509269,-0.0298072813570384
39,0.05,294.0,Sobol1,0.001,1000.0,94.60743713378906,0.0996265734235445,-0.0417448480608119
40,0.05,725.0,Sobol1,0.001,1000.0,93.37435150146484,0.0979628935456276,-0.0386673884132827
41,0.05,582.0,Sobol1,0.001,1000.0,94.78216044108072,0.1009113142887751,-0.0302789979883142
42,0.05,731.0,Sobol1,0.001,1000.0,94.47775268554688,0.1004667356610298,-0.0283381488570787
43,0.05,249.0,Sobol1,0.001,1000.0,93.78029886881512,0.0982994735240936,-0.0406361023024715
