,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.35,678.0,Grid2401,0.001,1000.0,108.42276000976562,0.13727355897426605,-0.11127562238773665
1,0.35,147.0,Grid2401,0.001,1000.0,107.8039337158203,0.13649469763040542,-0.11773534016661458
2,0.35,561.0,Grid2401,0.001,1000.0,108.04564514160157,0.13612077832221986,-0.10566971132702876
3,0.35,237.0,Grid2401,0.001,1000.0,110.04911804199219,0.1379759579896927,-0.1449529990422919
4,0.35,588.0,Grid2401,0.001,1000.0,108.30121307373047,0.13685431480407714,-0.11125973084063445
5,0.35,951.0,Grid2401,0.001,1000.0,108.02107696533203,0.13630595803260803,-0.09939239073489672
6,0.35,490.0,Grid2401,0.001,1000.0,107.45745086669922,0.13516590893268585,-0.10000695754272182
7,0.35,395.0,Grid2401,0.001,1000.0,108.63729858398438,0.138026824593544,-0.1262707313766366
8,0.35,877.0,Grid2401,0.001,1000.0,107.86902618408203,0.13613615036010743,-0.10936514115236777
9,0.35,297.0,Grid2401,0.001,1000.0,108.9421401977539,0.13863714039325714,-0.12561229403058016
10,0.35,721.0,Grid2401,0.001,1000.0,108.91132507324218,0.13834422528743745,-0.12189072239154988
11,0.35,711.0,Grid2401,0.001,1000.0,107.57746124267578,0.13506671786308289,-0.09609332977850578
12,0.35,985.0,Grid2401,0.001,1000.0,107.4866729736328,0.13490521311759948,-0.09639802368186978
13,0.35,171.0,Grid2401,0.001,1000.0,108.63899230957031,0.13779488503932952,-0.11202161445924305
14,0.35,75.0,Grid2401,0.001,1000.0,108.58020629882813,0.1378129243850708,-0.12710207271441515
15,0.35,16.0,Grid2401,0.001,1000.0,108.34237060546874,0.13710390627384186,-0.11348777894607917
16,0.35,669.0,Grid2401,0.001,1000.0,108.11534881591797,0.13641042411327362,-0.10714134111283698
17,0.35,530.0,Grid2401,0.001,1000.0,107.84572143554688,0.13560999631881715,-0.0996437690995676
18,0.35,999.0,Grid2401,0.001,1000.0,108.03425750732421,0.13636831939220428,-0.11271120566510051
19,0.35,794.0,Grid2401,0.001,1000.0,108.06072235107422,0.13653439283370972,-0.11163035632442689
20,0.35,936.0,Grid2401,0.001,1000.0,108.95507507324218,0.13875508308410645,-0.13396357124288577
21,0.35,111.0,Grid2401,0.001,1000.0,108.0199951171875,0.13586046695709228,-0.10289781423298971
22,0.35,816.0,Grid2401,0.001,1000.0,108.46392364501953,0.13743656277656555,-0.12004043742374368
23,0.35,968.0,Grid2401,0.001,1000.0,107.83294982910157,0.13570085763931275,-0.09612406356018485
24,0.35,48.0,Grid2401,0.001,1000.0,107.78541259765625,0.13578866124153138,-0.10267425241174513
25,0.35,986.0,Grid2401,0.001,1000.0,108.25406036376953,0.1370484262704849,-0.12039625145904469
26,0.35,829.0,Grid2401,0.001,1000.0,108.26347198486329,0.13715853691101074,-0.11534785257173383
27,0.35,996.0,Grid2401,0.001,1000.0,108.28295135498047,0.13711052834987641,-0.11616541909124471
28,0.35,272.0,Grid2401,0.001,1000.0,108.30439758300781,0.13725669384002687,-0.12059855146528142
29,0.35,759.0,Grid2401,0.001,1000.0,107.76912536621094,0.13543446362018585,-0.10134140028423766
30,0.35,390.0,Grid2401,0.001,1000.0,107.87800598144531,0.1363639324903488,-0.11780355755641785
31,0.35,930.0,Grid2401,0.001,1000.0,108.443408203125,0.1374847710132599,-0.12421879462937965
32,0.35,633.0,Grid2401,0.001,1000.0,108.13594665527344,0.13661175072193146,-0.11247211063426951
33,0.35,928.0,Grid2401,0.001,1000.0,108.45968475341797,0.13725835978984832,-0.12009220745096774
34,0.35,854.0,Grid2401,0.001,1000.0,108.29015808105468,0.1368862509727478,-0.11206217940024579
35,0.35,554.0,Grid2401,0.001,1000.0,107.39709777832032,0.1353691652417183,-0.10632030382470066
36,0.35,562.0,Grid2401,0.001,1000.0,108.08368835449218,0.1360478639602661,-0.10002033257760021
37,0.35,78.0,Grid2401,0.001,1000.0,108.33884124755859,0.1369624763727188,-0.11224080587167444
38,0.35,222.0,Grid2401,0.001,1000.0,108.22386322021484,0.13678375780582427,-0.11231313917462601
39,0.35,294.0,Grid2401,0.001,1000.0,107.69212341308594,0.13519439101219177,-0.09513345804252146
40,0.35,725.0,Grid2401,0.001,1000.0,107.57529144287109,0.13540737628936766,-0.10009220148153201
41,0.35,582.0,Grid2401,0.001,1000.0,108.66339721679688,0.1380803942680359,-0.12259415990791558
42,0.35,731.0,Grid2401,0.001,1000.0,109.56392211914063,0.13922105729579926,-0.15297043876332245
43,0.35,249.0,Grid2401,0.001,1000.0,107.26539459228516,0.13438713252544404,-0.09225772148227267
44,0.35,791.0,Grid2401,0.001,1000.0,110.08131256103516,0.138087198138237,-0.15094645367965015
45,0.35,35.0,Grid2401,0.001,1000.0,108.14506225585937,0.1365111619234085,-0.1099392899423044
46,0.35,180.0,Grid2401,0.001,1000.0,107.97017059326171,0.13650112450122834,-0.11498942383816839
47,0.35,510.0,Grid2401,0.001,1000.0,107.91414337158203,0.13622530400753022,-0.10749654795027763
48,0.35,593.0,Grid2401,0.001,1000.0,107.53504333496093,0.13515272736549377,-0.09685441258702773
49,0.35,634.0,Grid2401,0.001,1000.0,107.931884765625,0.1358029365539551,-0.0962499776755755
