,ratio,rndint,dataset,learning_rate,epoch,mape,r2
0,0.05,877.0,Sobol2,0.001,794.0,0.0898,-0.1347
1,0.05,721.0,Grid1296,0.001,309.0,0.1069,0.0194
2,0.05,711.0,Grid2401,0.001,142.0,0.1349,-0.1261
3,0.05,75.0,Grid1296,0.001,177.0,0.1062,0.0477
4,0.05,147.0,Sobol2,0.001,760.0,0.0903,-0.0675
5,0.05,721.0,Sobol1,0.001,261.0,0.095,-0.0299
6,0.05,171.0,Grid2401,0.001,143.0,0.1413,-0.2278
7,0.05,561.0,Grid1296,0.001,299.0,0.108,-0.0049
8,0.05,171.0,Sobol1,0.001,941.0,0.095,-0.0073
9,0.05,237.0,Grid2401,0.001,100.0,0.135,-0.1094
10,0.05,951.0,Grid1296,0.001,229.0,0.1093,-0.0027
11,0.05,490.0,Grid1296,0.001,186.0,0.1093,-0.0119
12,0.05,951.0,Sobol2,0.001,874.0,0.0893,-0.0503
13,0.05,490.0,Grid2401,0.001,147.0,0.1325,-0.1167
14,0.05,877.0,Grid1296,0.001,172.0,0.1105,-0.0313
15,0.05,75.0,Sobol2,0.001,782.0,0.0906,-0.0784
16,0.05,395.0,Sobol2,0.001,703.0,0.0896,-0.0604
17,0.05,395.0,Sobol1,0.001,309.0,0.0948,-0.0109
18,0.05,297.0,Grid1296,0.001,323.0,0.1102,-0.029
19,0.05,297.0,Grid2401,0.001,490.0,0.1367,-0.1924
20,0.05,985.0,Sobol2,0.001,767.0,0.0906,-0.0619
21,0.05,16.0,Grid2401,0.001,105.0,0.1346,-0.0752
22,0.05,678.0,Sobol2,0.001,868.0,0.0894,-0.0887
23,0.05,147.0,Grid2401,0.001,169.0,0.1361,-0.1357
24,0.05,561.0,Grid2401,0.001,142.0,0.1333,-0.1167
25,0.05,561.0,Sobol1,0.001,296.0,0.0955,-0.014
26,0.05,237.0,Sobol1,0.001,299.0,0.0939,0.0198
27,0.05,588.0,Grid1296,0.001,240.0,0.1091,-0.0262
28,0.05,951.0,Grid2401,0.001,460.0,0.1414,-0.255
29,0.05,721.0,Sobol2,0.001,498.0,0.0897,-0.0482
30,0.05,171.0,Grid1296,0.001,197.0,0.1082,-0.0047
31,0.05,395.0,Grid1296,0.001,253.0,0.1097,-0.0412
32,0.05,490.0,Sobol2,0.001,974.0,0.0928,-0.0741
33,0.05,985.0,Sobol1,0.001,325.0,0.0947,-0.024
34,0.05,877.0,Grid2401,0.001,112.0,0.1351,-0.1032
35,0.05,297.0,Sobol2,0.001,359.0,0.0863,-0.0691
36,0.05,297.0,Sobol1,0.001,263.0,0.0954,-0.0243
37,0.05,985.0,Grid2401,0.001,105.0,0.1342,-0.0935
38,0.05,669.0,Sobol2,0.001,408.0,0.0905,-0.0591
39,0.05,147.0,Grid1296,0.001,235.0,0.1039,0.0731
40,0.05,75.0,Sobol1,0.001,443.0,0.0946,-0.0296
41,0.05,147.0,Sobol1,0.001,288.0,0.0955,-0.0332
42,0.05,561.0,Sobol2,0.001,622.0,0.0896,-0.0299
43,0.05,711.0,Grid1296,0.001,209.0,0.1078,-0.012
44,0.05,75.0,Grid2401,0.001,131.0,0.1326,-0.0978
45,0.05,237.0,Grid1296,0.001,181.0,0.1089,0.0061
46,0.05,237.0,Sobol2,0.001,420.0,0.0904,-0.0564
47,0.05,588.0,Grid2401,0.001,127.0,0.1279,-0.0375
48,0.05,588.0,Sobol2,0.001,259.0,0.0893,-0.0728
49,0.05,588.0,Sobol1,0.001,310.0,0.0941,0.0182
50,0.05,951.0,Sobol1,0.001,301.0,0.0948,-0.0129
51,0.05,711.0,Sobol1,0.001,187.0,0.0937,0.0309
52,0.05,16.0,Sobol2,0.001,674.0,0.0892,-0.1134
53,0.05,490.0,Sobol1,0.001,267.0,0.0955,-0.0207
54,0.05,395.0,Grid2401,0.001,159.0,0.1398,-0.2103
55,0.05,16.0,Sobol1,0.001,392.0,0.0941,-0.0324
