,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.7,678.0,Grid2401,0.001,999.0,119.08159001668294,0.15207709496219954,-0.4377454096076128
1,0.7,147.0,Grid2401,0.001,998.0,113.4001859029134,0.14670746214687824,-0.2983464662620392
2,0.7,561.0,Grid2401,0.001,999.0,116.71717262268066,0.1501663438975811,-0.38019866081589365
3,0.7,237.0,Grid2401,0.001,1000.0,117.85096486409505,0.15019849687814713,-0.4037581575129945
4,0.7,588.0,Grid2401,0.001,993.0,115.59144592285156,0.14870945240060487,-0.3523838724741622
5,0.7,951.0,Grid2401,0.001,990.0,115.84848848978679,0.145095806568861,-0.34896908251520653
6,0.7,490.0,Grid2401,0.001,992.0,118.01842180887859,0.15259638552864394,-0.40494183431863356
7,0.7,395.0,Grid2401,0.001,973.0,120.68122545878093,0.1563770609597365,-0.49314028895964174
8,0.7,877.0,Grid2401,0.001,997.0,112.97613461812337,0.141090406725804,-0.28826209069731984
9,0.7,297.0,Grid2401,0.001,991.0,107.11314837137859,0.12830711714923382,-0.15846273260756513
10,0.7,721.0,Grid2401,0.001,1000.0,112.83288828531902,0.141734737281998,-0.2797171461592875
11,0.7,711.0,Grid2401,0.001,998.0,114.25364939371745,0.14391422085464,-0.32337089981401573
12,0.7,985.0,Grid2401,0.001,997.0,119.69102223714192,0.15522196888923645,-0.46132210880932184
13,0.7,171.0,Grid2401,0.001,989.0,111.20426368713379,0.13660801947116852,-0.23939857895360453
14,0.7,75.0,Grid2401,0.001,992.0,109.37555821736653,0.13331787784894308,-0.21484215125396047
15,0.7,16.0,Grid2401,0.001,990.0,114.71884346008301,0.14655299733082452,-0.3273455406015048
16,0.7,669.0,Grid2401,0.001,985.0,118.38925552368164,0.1533991421262423,-0.40979924165967246
17,0.7,530.0,Grid2401,0.001,987.0,115.0928274790446,0.1490203576783339,-0.3343123377350791
18,0.7,999.0,Grid2401,0.001,999.0,116.76573435465495,0.14849804217616716,-0.38553961957540644
19,0.7,794.0,Grid2401,0.001,997.0,111.80194409688313,0.14106743348141512,-0.26075121315951894
20,0.7,936.0,Grid2401,0.001,985.0,118.71854019165039,0.1522427530338367,-0.44213479025391816
21,0.7,111.0,Grid2401,0.001,996.0,115.06135368347168,0.14159967998663583,-0.3377072364609394
22,0.7,816.0,Grid2401,0.001,986.0,123.3752384185791,0.16460506742199263,-0.5441579215066015
23,0.7,968.0,Grid2401,0.001,999.0,128.38376235961914,0.17269875233372053,-0.6560506838040066
24,0.7,48.0,Grid2401,0.001,998.0,121.22391573588054,0.1573277935385704,-0.5060100853663083
25,0.7,986.0,Grid2401,0.001,996.0,115.68047777811687,0.14804408450921377,-0.3469562889330468
26,0.7,829.0,Grid2401,0.001,999.0,113.42499605814616,0.14241759851574898,-0.30129605834610035
27,0.7,996.0,Grid2401,0.001,991.0,107.93695004781087,0.13469861261546612,-0.17967444903100446
28,0.7,272.0,Grid2401,0.001,980.0,108.58203061421712,0.13365037739276886,-0.19346756352769057
29,0.7,759.0,Grid2401,0.001,994.0,111.63186518351237,0.13833450277646384,-0.2714101380130119
30,0.7,390.0,Grid2401,0.001,996.0,118.67665608723958,0.15347971643010774,-0.42160214185365746
31,0.7,930.0,Grid2401,0.001,999.0,108.68585840861003,0.13151119028528532,-0.19023027258576372
32,0.7,633.0,Grid2401,0.001,1000.0,114.27131652832031,0.14669988304376602,-0.3206427634498465
33,0.7,928.0,Grid2401,0.001,1000.0,109.0686575571696,0.13371859677135944,-0.19789836871881805
34,0.7,854.0,Grid2401,0.001,995.0,113.42370541890462,0.1397925540804863,-0.30083796704271465
35,0.7,554.0,Grid2401,0.001,986.0,117.8377291361491,0.15251177797714868,-0.39961505885987975
36,0.7,562.0,Grid2401,0.001,1000.0,110.45590019226074,0.138002784922719,-0.2302403666037416
37,0.7,78.0,Grid2401,0.001,999.0,111.6370620727539,0.13879915264745554,-0.2703294583920474
38,0.7,222.0,Grid2401,0.001,990.0,126.47674051920573,0.16952861472964287,-0.6237303095785215
39,0.7,294.0,Grid2401,0.001,985.0,111.23995590209961,0.1384779599805673,-0.24834668731475373
40,0.7,725.0,Grid2401,0.001,980.0,115.52485783894856,0.14774038828909397,-0.34552537030515856
41,0.7,582.0,Grid2401,0.001,998.0,111.47925567626953,0.13899053012331328,-0.2524350586732565
42,0.7,731.0,Grid2401,0.001,997.0,120.0702641805013,0.15723510831594467,-0.4826552021206687
43,0.7,249.0,Grid2401,0.001,991.0,114.55584780375163,0.14780315135916075,-0.32407642998935354
44,0.7,791.0,Grid2401,0.001,997.0,118.8267453511556,0.15278688569863638,-0.41865322100183283
45,0.7,35.0,Grid2401,0.001,999.0,113.12573496500652,0.13854976805547872,-0.29487525831810063
46,0.7,180.0,Grid2401,0.001,996.0,115.83953475952148,0.14686501833299795,-0.3726082461736416
47,0.7,510.0,Grid2401,0.001,988.0,112.63673909505208,0.14271962642669678,-0.2957037255826119
48,0.7,593.0,Grid2401,0.001,999.0,116.0611801147461,0.14833506507178149,-0.3569805924070901
49,0.7,634.0,Grid2401,0.001,995.0,109.2172457377116,0.13566971135636172,-0.20897284120827672
