,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.8,678.0,Sobol2,0.001,991.0,115.64226090280633,0.15231151682765862,-0.4523431362341687
1,0.8,147.0,Sobol2,0.001,998.0,133.50157326146177,0.1766773438767383,-0.9274234992450049
2,0.8,561.0,Sobol2,0.001,1000.0,137.7784592477899,0.1820787975662633,-1.0215837465148632
3,0.8,237.0,Sobol2,0.001,991.0,109.86592222514905,0.14357037293283562,-0.30347712178364844
4,0.8,588.0,Sobol2,0.001,1000.0,113.3256856014854,0.14818279758880012,-0.4039536662233936
5,0.8,951.0,Sobol2,0.001,997.0,107.69585378546464,0.13973714489685862,-0.27450202815263564
6,0.8,490.0,Sobol2,0.001,998.0,111.85813301487973,0.14560984898554652,-0.36631287864010925
7,0.8,395.0,Sobol2,0.001,994.0,111.49110051205284,0.1460492038413098,-0.3421165675573942
8,0.8,877.0,Sobol2,0.001,994.0,109.78559875488281,0.1439727583998128,-0.30638123402433726
9,0.8,297.0,Sobol2,0.001,998.0,114.11764486212479,0.15016492573838486,-0.39444416842656466
10,0.8,721.0,Sobol2,0.001,995.0,113.0211430599815,0.14877604575533615,-0.38792821887091344
11,0.8,711.0,Sobol2,0.001,995.0,111.93513448614823,0.14623736001943288,-0.33372048728137993
12,0.8,985.0,Sobol2,0.001,999.0,114.0986099243164,0.15108879498745265,-0.3906717249713869
13,0.8,171.0,Sobol2,0.001,996.0,116.73610205399363,0.15454423192300296,-0.4754181214864439
14,0.8,75.0,Sobol2,0.001,997.0,107.11712887412624,0.13947549109396182,-0.23875288773072625
15,0.8,16.0,Sobol2,0.001,991.0,108.76163482666016,0.14147199376633293,-0.27133862334926717
16,0.8,669.0,Sobol2,0.001,997.0,111.05699800190173,0.14594860453354686,-0.31619462653594527
17,0.8,530.0,Sobol2,0.001,998.0,110.16255870618318,0.1441687859202686,-0.3150960768936592
18,0.8,999.0,Sobol2,0.001,993.0,115.14303910104852,0.15198412145438947,-0.4305774666162055
19,0.8,794.0,Sobol2,0.001,990.0,110.17252751400596,0.1433850350348573,-0.30923714898030585
20,0.8,936.0,Sobol2,0.001,980.0,114.47124481201172,0.15093279590732173,-0.43009606201953554
21,0.8,111.0,Sobol2,0.001,998.0,106.03744426526521,0.13784565658945785,-0.20870950302131652
22,0.8,816.0,Sobol2,0.001,989.0,109.02368445145457,0.14168526036174675,-0.2857502110519219
23,0.8,968.0,Sobol2,0.001,990.0,109.77942617315995,0.1435423493385315,-0.30140196451334245
24,0.8,48.0,Sobol2,0.001,1000.0,115.50730293675473,0.15220158978512413,-0.4215901757001319
25,0.8,986.0,Sobol2,0.001,994.0,115.15984545255962,0.1516928233598408,-0.43482552373053585
26,0.8,829.0,Sobol2,0.001,999.0,115.49530872545745,0.15198449280701185,-0.4428388736112392
27,0.8,996.0,Sobol2,0.001,994.0,102.74537257144326,0.13148982940535797,-0.12602489555564095
28,0.8,272.0,Sobol2,0.001,1000.0,116.37823968184621,0.1533627627711547,-0.45054226131297065
29,0.8,759.0,Sobol2,0.001,988.0,110.05259062114514,0.14328087670238396,-0.31884683454381024
30,0.8,390.0,Sobol2,0.001,997.0,116.5054393567537,0.15387429375397532,-0.4563270943840713
31,0.8,930.0,Sobol2,0.001,998.0,112.6240338777241,0.1467512712666863,-0.38671779500815984
32,0.8,633.0,Sobol2,0.001,994.0,112.24975104081004,0.14738905978830238,-0.34871990901400746
33,0.8,928.0,Sobol2,0.001,999.0,118.04003665321751,0.15627428261857285,-0.49232520085391557
34,0.8,854.0,Sobol2,0.001,998.0,104.75656409012645,0.13484604774337067,-0.17318691141912024
35,0.8,554.0,Sobol2,0.001,984.0,109.21344435842414,0.14203793633925288,-0.29117514452588333
36,0.8,562.0,Sobol2,0.001,992.0,105.93119129381682,0.13592598626488134,-0.22419401463699118
37,0.8,78.0,Sobol2,0.001,990.0,111.51346266897102,0.14654787825910667,-0.34715211471205126
38,0.8,222.0,Sobol2,0.001,995.0,107.51713923404091,0.1383188319833655,-0.25293205950298875
39,0.8,294.0,Sobol2,0.001,1000.0,143.86102535850122,0.19021173997929222,-1.2199329938961017
40,0.8,725.0,Sobol2,0.001,1000.0,107.68195142244038,0.14113475774463854,-0.25456718956842617
41,0.8,582.0,Sobol2,0.001,1000.0,105.51916865298622,0.13645369598740026,-0.19506512714363056
42,0.8,731.0,Sobol2,0.001,1000.0,109.83678235505757,0.14447677566816933,-0.29856539533322507
43,0.8,249.0,Sobol2,0.001,995.0,128.0058405022872,0.16989017160315262,-0.760980688127883
44,0.8,791.0,Sobol2,0.001,993.0,105.50210169741982,0.13725550551163523,-0.19218899982991738
45,0.8,35.0,Sobol2,0.001,987.0,102.74558619449013,0.13223912174764432,-0.1218846653702637
46,0.8,180.0,Sobol2,0.001,999.0,114.14474366840564,0.15036095443524813,-0.3943605077819661
47,0.8,510.0,Sobol2,0.001,989.0,106.28915525737561,0.13752228962747673,-0.242105912291835
48,0.8,593.0,Sobol2,0.001,993.0,108.39867882979543,0.14177070910993375,-0.2627113024843933
49,0.8,634.0,Sobol2,0.001,995.0,111.49201644094367,0.1466017506624523,-0.3353582075980089
