,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.05,678.0,Grid1296,0.001,975.0,124.30158106486004,0.1658334930737813,-0.5820488728052257
1,0.05,147.0,Grid1296,0.001,1000.0,162.2812525431315,0.2190431331594785,-1.5919103371206147
2,0.05,561.0,Grid1296,0.001,998.0,130.20223490397134,0.1746406033635139,-0.6758125670703615
3,0.05,237.0,Grid1296,0.001,1000.0,124.71445592244466,0.1667775685588518,-0.5421127094323425
4,0.05,588.0,Grid1296,0.001,999.0,139.3474604288737,0.1859098350008328,-0.8794538752739491
5,0.05,951.0,Grid1296,0.001,1000.0,132.01353200276694,0.176832636197408,-0.7454280816740458
6,0.05,490.0,Grid1296,0.001,993.0,133.54346720377603,0.1786079878608385,-0.7703488135012447
7,0.05,395.0,Grid1296,0.001,964.0,125.39903004964192,0.1676740820209185,-0.5799001698901921
8,0.05,877.0,Grid1296,0.001,998.0,230.9351501464844,0.3156259407599767,-4.203267782644296
9,0.05,297.0,Grid1296,0.001,997.0,127.42893727620442,0.1710469623406728,-0.605810991920098
10,0.05,721.0,Grid1296,0.001,991.0,124.58986918131512,0.1669121856490771,-0.5252967878643154
11,0.05,711.0,Grid1296,0.001,999.0,136.48343912760416,0.1830414359768231,-0.8790439353043885
12,0.05,985.0,Grid1296,0.001,1000.0,128.25354639689127,0.1710933521389961,-0.656524660635995
13,0.05,171.0,Grid1296,0.001,999.0,244.2169621785482,0.3331735481818517,-5.018353126829407
14,0.05,75.0,Grid1296,0.001,999.0,197.76028696695963,0.2674025992552439,-2.798822854938068
15,0.05,16.0,Grid1296,0.001,997.0,158.02681732177734,0.2112364868323008,-1.4976510727412788
16,0.05,669.0,Grid1296,0.001,999.0,184.6552505493164,0.249709740281105,-2.407436697383264
17,0.05,530.0,Grid1296,0.001,997.0,147.39853159586588,0.197007325788339,-1.0966599948706033
18,0.05,999.0,Grid1296,0.001,990.0,124.6448860168457,0.1670608967542648,-0.5512278027141738
19,0.05,794.0,Grid1296,0.001,995.0,130.4153086344401,0.1751569261153539,-0.6619388220861858
20,0.05,936.0,Grid1296,0.001,998.0,147.15106201171875,0.1962121402223905,-1.2200761761370662
21,0.05,111.0,Grid1296,0.001,997.0,134.1020533243815,0.1799133047461509,-0.7734056825654053
22,0.05,816.0,Grid1296,0.001,997.0,125.92090861002605,0.1693003897865613,-0.5760377682108808
23,0.05,968.0,Grid1296,0.001,999.0,141.71320088704428,0.189586284259955,-0.9393741352004612
24,0.05,48.0,Grid1296,0.001,994.0,127.82515462239584,0.1713611781597137,-0.6077447290464896
25,0.05,986.0,Grid1296,0.001,984.0,126.57363891601562,0.1696340714891751,-0.6398069984430647
26,0.05,829.0,Grid1296,0.001,999.0,133.24872716267905,0.1787988692522049,-0.7563489532710195
27,0.05,996.0,Grid1296,0.001,1000.0,238.8536834716797,0.3260155667861302,-4.505661751108517
28,0.05,272.0,Grid1296,0.001,990.0,124.48283131917316,0.1665425846974055,-0.552148679544289
29,0.05,759.0,Grid1296,0.001,1000.0,136.9916534423828,0.183596504231294,-0.8231101957753477
30,0.05,390.0,Grid1296,0.001,975.0,131.4666544596354,0.1757597227891286,-0.7170053823306045
31,0.05,930.0,Grid1296,0.001,1000.0,465.6550089518229,0.6674070358276367,-19.40745741659628
32,0.05,633.0,Grid1296,0.001,1000.0,166.81265767415366,0.2235337893168131,-1.6933656812927331
33,0.05,928.0,Grid1296,0.001,1000.0,236.4276123046875,0.3234232763449351,-4.433760469619245
34,0.05,854.0,Grid1296,0.001,1000.0,191.9717712402344,0.2624165813128153,-2.6298757701989945
35,0.05,554.0,Grid1296,0.001,994.0,125.65086364746094,0.1686212693651517,-0.5430243912848532
36,0.05,562.0,Grid1296,0.001,974.0,121.40165583292644,0.1617364113529523,-0.4710370877949887
37,0.05,78.0,Grid1296,0.001,997.0,131.13253529866537,0.1754435002803802,-0.709168251066392
38,0.05,222.0,Grid1296,0.001,1000.0,227.9532852172852,0.3120088577270508,-3.904343737151799
39,0.05,294.0,Grid1296,0.001,999.0,161.38544464111328,0.2170100808143615,-1.4946484073864166
40,0.05,725.0,Grid1296,0.001,999.0,157.31859842936197,0.2104513148466746,-1.465309297834245
41,0.05,582.0,Grid1296,0.001,1000.0,127.9391098022461,0.172381617128849,-0.5719752773787006
42,0.05,731.0,Grid1296,0.001,1000.0,145.2834447224935,0.1935729359587033,-1.1501416648138365
43,0.05,249.0,Grid1296,0.001,967.0,127.16207631429036,0.1705997760097185,-0.6046989676343512
44,0.05,791.0,Grid1296,0.001,995.0,129.2534612019857,0.1731199224789937,-0.6806193888009485
45,0.05,35.0,Grid1296,0.001,998.0,135.21979522705078,0.1805782690644264,-0.8041763580620879
46,0.05,180.0,Grid1296,0.001,963.0,124.22338485717772,0.1665695359309514,-0.5528242455075004
47,0.05,510.0,Grid1296,0.001,1000.0,151.5703608194987,0.201463629802068,-1.2484689713287376
48,0.05,593.0,Grid1296,0.001,999.0,121.717466990153,0.1624436949690183,-0.4567542157269326
49,0.05,634.0,Grid1296,0.001,999.0,133.25616073608398,0.178345945974191,-0.70203470387671
50,0.05,678.0,Sobol1,0.001,994.0,127.5794423421224,0.1662412881851196,-0.924723186349453
51,0.05,147.0,Sobol1,0.001,998.0,129.3391367594401,0.1692996124426523,-0.9823772781801962
52,0.05,561.0,Sobol1,0.001,1000.0,162.2402089436849,0.2128474364678065,-2.0597485092216217
53,0.05,237.0,Sobol1,0.001,1000.0,196.9523264567057,0.2660855849583943,-3.426228998808013
54,0.05,588.0,Sobol1,0.001,977.0,115.6624043782552,0.1506809989611307,-0.5964227844337595
