,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.85,678.0,Sobol2,0.001,1000.0,127.65484069824218,0.16934122979640961,-0.7616628241899234
1,0.85,147.0,Sobol2,0.001,1000.0,125.81141143798828,0.16742678999900817,-0.6927953253085276
2,0.85,561.0,Sobol2,0.001,999.0,124.26486663818359,0.165432670712471,-0.6431548256302545
3,0.85,237.0,Sobol2,0.001,1000.0,127.13742584228515,0.16902690291404723,-0.7392718966503037
4,0.85,588.0,Sobol2,0.001,999.0,123.94269165039063,0.1646916538476944,-0.6554854662884921
5,0.85,951.0,Sobol2,0.001,1000.0,124.74062133789063,0.166056028008461,-0.6693402456283509
6,0.85,490.0,Sobol2,0.001,1000.0,126.8922198486328,0.16857207119464873,-0.7186050986508549
7,0.85,395.0,Sobol2,0.001,1000.0,124.87861053466797,0.16607490956783294,-0.6652450180557207
8,0.85,877.0,Sobol2,0.001,1000.0,126.37308319091797,0.16809751152992247,-0.7084618168677832
9,0.85,297.0,Sobol2,0.001,998.0,126.27111602783204,0.1684746140241623,-0.6994952743274225
10,0.85,721.0,Sobol2,0.001,999.0,123.4927621459961,0.16431228578090668,-0.633733534913971
11,0.85,711.0,Sobol2,0.001,1000.0,124.84686614990234,0.16633633494377137,-0.648149444914039
12,0.85,985.0,Sobol2,0.001,1000.0,126.32052673339844,0.16796042680740356,-0.6910820121264006
13,0.85,171.0,Sobol2,0.001,999.0,128.9964404296875,0.17154932022094727,-0.7997386834312306
14,0.85,75.0,Sobol2,0.001,1000.0,130.97545074462892,0.17395358979701997,-0.8273162880479623
15,0.85,16.0,Sobol2,0.001,998.0,124.98722106933593,0.1662679708003998,-0.6570994907778025
16,0.85,669.0,Sobol2,0.001,998.0,125.76930084228516,0.16736094653606415,-0.6895392589617836
17,0.85,530.0,Sobol2,0.001,1000.0,124.13133209228516,0.1652742850780487,-0.6373205011107443
18,0.85,999.0,Sobol2,0.001,999.0,126.11114776611328,0.16774055778980254,-0.7048975199222453
19,0.85,794.0,Sobol2,0.001,997.0,125.63079772949219,0.1672590559720993,-0.6921206513302651
20,0.85,936.0,Sobol2,0.001,1000.0,123.63639739990235,0.1642420357465744,-0.6426013010334627
21,0.85,111.0,Sobol2,0.001,999.0,125.68332275390625,0.16742515683174133,-0.6800611059602094
22,0.85,816.0,Sobol2,0.001,1000.0,125.27907104492188,0.16648577749729157,-0.6920581570164159
23,0.85,968.0,Sobol2,0.001,1000.0,124.38368377685546,0.16580195665359498,-0.6552249173498452
24,0.85,48.0,Sobol2,0.001,1000.0,122.19525695800782,0.162706378698349,-0.5864027716190485
25,0.85,986.0,Sobol2,0.001,999.0,127.02265747070312,0.16840084850788117,-0.7382954705128456
26,0.85,829.0,Sobol2,0.001,1000.0,124.10305084228516,0.16529400527477264,-0.6313496872232878
27,0.85,996.0,Sobol2,0.001,1000.0,124.8842855834961,0.1665077304840088,-0.6478834700023814
28,0.85,272.0,Sobol2,0.001,998.0,123.10792144775391,0.16377045571804047,-0.6133369884262
29,0.85,759.0,Sobol2,0.001,997.0,124.4373941040039,0.1652745658159256,-0.6638557868816912
30,0.85,390.0,Sobol2,0.001,996.0,126.7944403076172,0.16872043609619142,-0.7134485734401608
31,0.85,930.0,Sobol2,0.001,1000.0,126.10527587890626,0.16745853126049043,-0.7228268850731309
32,0.85,633.0,Sobol2,0.001,998.0,126.39173217773437,0.16803083896636964,-0.6924330375265407
33,0.85,928.0,Sobol2,0.001,1000.0,123.35103088378906,0.16444427788257598,-0.6119021440374127
34,0.85,854.0,Sobol2,0.001,999.0,124.14746307373046,0.16478682100772857,-0.6506717543625075
35,0.85,554.0,Sobol2,0.001,999.0,127.39151428222657,0.16961657285690307,-0.7364098705355808
36,0.85,562.0,Sobol2,0.001,999.0,128.4400177001953,0.1700998991727829,-0.8102238337689187
37,0.85,78.0,Sobol2,0.001,1000.0,128.89034942626952,0.17129423081874848,-0.7721977526598497
38,0.85,222.0,Sobol2,0.001,1000.0,126.90918304443359,0.16828298211097717,-0.7448820140874698
39,0.85,294.0,Sobol2,0.001,998.0,124.21974884033203,0.16501397907733917,-0.6722162860707553
40,0.85,725.0,Sobol2,0.001,1000.0,125.68877471923828,0.1672012710571289,-0.6850320412046316
41,0.85,582.0,Sobol2,0.001,999.0,123.70473876953125,0.16416617333889008,-0.6278103160788147
42,0.85,731.0,Sobol2,0.001,1000.0,126.865029296875,0.16881219089031219,-0.728526272127828
43,0.85,249.0,Sobol2,0.001,1000.0,124.29705993652344,0.16542815387248994,-0.6423830899978618
44,0.85,791.0,Sobol2,0.001,1000.0,124.44037658691406,0.16560698688030243,-0.6637285103907498
45,0.85,35.0,Sobol2,0.001,999.0,122.12025207519531,0.16257451057434083,-0.5716031249934538
46,0.85,180.0,Sobol2,0.001,1000.0,125.2841293334961,0.16678242206573488,-0.6677197671720962
47,0.85,510.0,Sobol2,0.001,1000.0,128.11056243896485,0.16964123249053956,-0.796491911367424
48,0.85,593.0,Sobol2,0.001,999.0,126.94688659667969,0.1686730343103409,-0.7334587834781797
49,0.85,634.0,Sobol2,0.001,1000.0,124.68843994140624,0.16620419025421143,-0.6561910408623207
