,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.65,678.0,Grid2401,0.001,199.0,104.78729248046875,0.12365396991372109,-0.10196367909854773
1,0.65,147.0,Grid2401,0.001,183.0,104.27274856567382,0.11958938986063003,-0.08652286791347868
2,0.65,561.0,Grid2401,0.001,178.0,102.47284088134765,0.11899034082889556,-0.04533600613531726
3,0.65,237.0,Grid2401,0.001,197.0,104.74591217041015,0.12102526947855949,-0.09041863940629616
4,0.65,588.0,Grid2401,0.001,182.0,106.43075256347656,0.12258922532200814,-0.13153696800294562
5,0.65,951.0,Grid2401,0.001,199.0,107.91042633056641,0.12679308280348778,-0.16338554698877902
6,0.65,490.0,Grid2401,0.001,181.0,106.59381713867188,0.1254103660583496,-0.14055593162262117
7,0.65,395.0,Grid2401,0.001,191.0,104.3203224182129,0.12199746742844582,-0.09119807675378208
8,0.65,877.0,Grid2401,0.001,193.0,102.03632888793945,0.11508313715457916,-0.03565396696488885
9,0.65,297.0,Grid2401,0.001,191.0,102.78306427001954,0.11926041021943093,-0.05027251840881155
10,0.65,721.0,Grid2401,0.001,178.0,103.9408676147461,0.12115120068192482,-0.07811374336706005
11,0.65,711.0,Grid2401,0.001,186.0,103.95660705566407,0.12063278704881668,-0.07659250073546275
12,0.65,985.0,Grid2401,0.001,180.0,104.68877334594727,0.12171172723174095,-0.0996330672901454
13,0.65,171.0,Grid2401,0.001,200.0,101.91516952514648,0.11696160063147545,-0.03267414446467777
14,0.65,75.0,Grid2401,0.001,186.0,103.72537612915039,0.1201854981482029,-0.07001017069372091
15,0.65,16.0,Grid2401,0.001,191.0,103.45495910644532,0.1202330507338047,-0.06297270130086445
16,0.65,669.0,Grid2401,0.001,183.0,105.11687545776367,0.12338706403970719,-0.09972907101631416
17,0.65,530.0,Grid2401,0.001,153.0,105.24090118408203,0.12145156711339951,-0.10388367720549382
18,0.65,999.0,Grid2401,0.001,200.0,104.28903350830078,0.12006801664829254,-0.0829772650797995
19,0.65,794.0,Grid2401,0.001,186.0,101.34776306152344,0.1169233649969101,-0.027976267475893647
20,0.65,936.0,Grid2401,0.001,178.0,101.90750122070312,0.1178142100572586,-0.03934462121900042
21,0.65,111.0,Grid2401,0.001,187.0,103.23426132202148,0.11892086416482925,-0.06299356004935305
22,0.65,816.0,Grid2401,0.001,181.0,103.93257217407226,0.12192620560526848,-0.08672115682614538
23,0.65,968.0,Grid2401,0.001,199.0,103.05798950195313,0.12008584886789322,-0.05910189695149219
24,0.65,48.0,Grid2401,0.001,178.0,104.64784469604493,0.11983577460050583,-0.10043423098725639
25,0.65,986.0,Grid2401,0.001,185.0,101.1727195739746,0.1168993927538395,-0.018618787962970552
26,0.65,829.0,Grid2401,0.001,192.0,105.80117874145508,0.12188204750418663,-0.12440539020613306
27,0.65,996.0,Grid2401,0.001,201.0,106.60469818115234,0.12446464896202088,-0.1325144117179263
28,0.65,272.0,Grid2401,0.001,184.0,104.10176391601563,0.12123415917158127,-0.08559978495181075
29,0.65,759.0,Grid2401,0.001,189.0,105.21586074829102,0.12201393097639084,-0.1036014246281747
30,0.65,390.0,Grid2401,0.001,178.0,105.77641448974609,0.12449385896325112,-0.12238796534491336
31,0.65,930.0,Grid2401,0.001,205.0,102.1149284362793,0.1180297665297985,-0.03810118417931417
32,0.65,633.0,Grid2401,0.001,207.0,102.19132766723632,0.11815771013498307,-0.0461587301592835
33,0.65,928.0,Grid2401,0.001,188.0,104.23599777221679,0.12072022557258606,-0.08986240639848252
34,0.65,854.0,Grid2401,0.001,183.0,105.51877365112304,0.12419429644942284,-0.11164068220669802
35,0.65,554.0,Grid2401,0.001,193.0,107.03012313842774,0.12333537116646767,-0.1452058817315566
36,0.65,562.0,Grid2401,0.001,189.0,102.97345962524415,0.11889967024326324,-0.057896105768381265
37,0.65,78.0,Grid2401,0.001,180.0,108.7447883605957,0.1287609741091728,-0.18053138447103625
38,0.65,222.0,Grid2401,0.001,181.0,102.1680534362793,0.11878520175814629,-0.043157806742968194
39,0.65,294.0,Grid2401,0.001,205.0,107.88992691040039,0.12561710625886918,-0.16386947378810615
40,0.65,725.0,Grid2401,0.001,216.0,104.76119613647461,0.1195239245891571,-0.0922978260972063
41,0.65,582.0,Grid2401,0.001,184.0,106.81585540771485,0.1250639759004116,-0.14583735165263892
42,0.65,731.0,Grid2401,0.001,177.0,101.49722442626953,0.11834397912025452,-0.03455439938038853
43,0.65,249.0,Grid2401,0.001,213.0,103.14304733276367,0.11952146291732788,-0.05877739180385925
44,0.65,791.0,Grid2401,0.001,176.0,107.03093490600585,0.12505595088005067,-0.1482614070052722
45,0.65,35.0,Grid2401,0.001,187.0,108.08595962524414,0.12706851735711097,-0.1726249519467863
46,0.65,180.0,Grid2401,0.001,181.0,105.2508430480957,0.12398466393351555,-0.10689446899498986
47,0.65,510.0,Grid2401,0.001,183.0,105.23080749511719,0.12212969362735748,-0.11068448097337884
48,0.65,593.0,Grid2401,0.001,176.0,103.28590621948243,0.11883303970098495,-0.06472568103687149
49,0.65,634.0,Grid2401,0.001,193.0,103.91989517211914,0.1196875438094139,-0.08173553746681395
