,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.2206555766080893,0.226896701375018,0.6584256271569692,0.1178471455486034,700.0697401307261,689.024,18,11.04574013072613,0.01603099475595354,-10.975999999999999,-0.01568
1,1,0.2212829721093631,0.2302185602589332,0.661204656508112,0.111466769860426,695.3749133034464,678.93,17,16.44491330344647,0.024221809764550795,-21.07000000000005,-0.03010000000000007
2,2,0.2732425878755076,0.2466710228339539,0.6592639398765093,0.1336822756470168,697.2136225553356,689.138,14,8.075622555335599,0.01171844036366533,-10.861999999999966,-0.01551714285714281
3,3,0.248792999775185,0.2573757711394886,0.6623306730733238,0.1293948672767682,639.4505271838716,630.635,14,8.815527183871609,0.013978810538380536,-69.36500000000001,-0.09909285714285715
4,4,0.2227025957425145,0.2306124601869452,0.6570704501136927,0.1152379789827076,695.9042738624489,683.402,15,12.502273862448874,0.01829417218920763,-16.597999999999956,-0.02371142857142851
5,5,0.2214974676575412,0.2303620601949138,0.6587195182458053,0.1115382187655476,695.1273952337556,684.123,14,11.004395233755531,0.016085404574550967,-15.876999999999953,-0.022681428571428505
6,6,0.2247110196835805,0.2542825370509905,0.653960484189682,0.1271302447310307,633.9977330635072,626.957,13,7.0407330635072185,0.011230009495878056,-73.043,-0.10434714285714286
7,7,0.207271589690293,0.2299146076120143,0.6603114242453302,0.1348761569170608,692.3511695352364,685.989,17,6.362169535236376,0.009274448329690965,-14.010999999999967,-0.020015714285714237
8,8,0.2373260635384092,0.2365368095957346,0.6641030025696237,0.1311819879777704,693.5473252192371,685.639,16,7.908325219237099,0.011534240641557874,-14.36099999999999,-0.020515714285714273
9,9,0.2224629702011367,0.2289991546150592,0.6612040272956188,0.1156775011742816,698.5555081726793,687.697,16,10.858508172679308,0.015789669247763635,-12.302999999999997,-0.01757571428571428
