,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.2206555766080893,0.226896701375018,0.6584256271569692,0.1178471455486034,700.0697401307261
1,1,0.2212829721093631,0.2302185602589332,0.661204656508112,0.111466769860426,695.3749133034464
2,2,0.2732425878755076,0.2466710228339539,0.6592639398765093,0.1336822756470168,697.2136225553356
3,3,0.248792999775185,0.2573757711394886,0.6623306730733238,0.1293948672767682,639.4505271838716
4,4,0.2227025957425145,0.2306124601869452,0.6570704501136927,0.1152379789827076,695.9042738624489
5,5,0.2214974676575412,0.2303620601949138,0.6587195182458053,0.1115382187655476,695.1273952337556
6,6,0.2247110196835805,0.2542825370509905,0.653960484189682,0.1271302447310307,633.9977330635072
7,7,0.207271589690293,0.2299146076120143,0.6603114242453302,0.1348761569170608,692.3511695352364
8,8,0.2373260635384092,0.2365368095957346,0.6641030025696237,0.1311819879777704,693.5473252192371
9,9,0.2224629702011367,0.2289991546150592,0.6612040272956188,0.1156775011742816,698.5555081726793
