,target,maxR2-0,AbsDiffs-0,RelDiffs-0,maxR2-1,AbsDiffs-1,RelDiffs-1,maxR2-2,AbsDiffs-2,RelDiffs-2,maxR2-3,AbsDiffs-3,RelDiffs-3,maxR2-4,AbsDiffs-4,RelDiffs-4,maxR2-5,AbsDiffs-5,RelDiffs-5,maxR2-6,AbsDiffs-6,RelDiffs-6,maxR2-7,AbsDiffs-7,RelDiffs-7,maxR2-8,AbsDiffs-8,RelDiffs-8,maxR2-9,AbsDiffs-9,RelDiffs-9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.491,0.39050000000000007,-0.10049999999999992,0.0,0.39080000000000004,-0.10019999999999996,0.0,0.39050000000000007,-0.10049999999999992,0.0,0.39050000000000007,-0.10049999999999992,0.0,0.39080000000000004,-0.10019999999999996,0.0,0.39080000000000004,-0.10019999999999996,0.0,0.39080000000000004,-0.10019999999999996,0.0,0.39080000000000004,-0.10019999999999996,0.0,0.39050000000000007,-0.10049999999999992,0.0,0.39080000000000004,-0.10019999999999996,0.0
2,0.746,0.4818,-0.2642,0.0,0.482,-0.264,0.0,0.4818,-0.2642,0.0,0.4818,-0.2642,0.0,0.482,-0.264,0.0,0.482,-0.264,0.0,0.482,-0.264,0.0,0.482,-0.264,0.0,0.4811000000000001,-0.2648999999999999,0.0,0.482,-0.264,0.0
3,0.542,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0,0.35430000000000006,-0.18769999999999998,0.0,0.35430000000000006,-0.18769999999999998,0.0,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0,0.35440000000000005,-0.1876,0.0
4,1.195,0.9083800000000001,-0.28662,-0.23984937238493723,0.90854,-0.28646000000000005,-0.23971548117154814,0.9083800000000001,-0.28662,-0.23984937238493723,0.90839,-0.28661000000000003,-0.23984100418410043,0.90854,-0.28646000000000005,-0.23971548117154814,0.90854,-0.28646000000000005,-0.23971548117154814,0.90854,-0.28646000000000005,-0.23971548117154814,0.90854,-0.28646000000000005,-0.23971548117154814,0.90837,-0.28663000000000005,-0.23985774058577408,0.90854,-0.28646000000000005,-0.23971548117154814
5,1.17,0.7551,-0.41489999999999994,-0.35461538461538455,0.75539,-0.4146099999999999,-0.3543675213675213,0.7556,-0.4143999999999999,-0.35418803418803413,0.75663,-0.4133699999999999,-0.35330769230769227,0.7554500000000001,-0.41454999999999986,-0.35431623931623923,0.7554500000000001,-0.41454999999999986,-0.35431623931623923,0.75526,-0.4147399999999999,-0.3544786324786324,0.7554700000000001,-0.41452999999999984,-0.3542991452991452,0.75551,-0.4144899999999999,-0.3542649572649572,0.75546,-0.4145399999999999,-0.35430769230769227
6,1.057,0.74903,-0.30796999999999997,-0.2913623462630085,0.74912,-0.30787999999999993,-0.29127719962157045,0.74903,-0.30796999999999997,-0.2913623462630085,0.74903,-0.30796999999999997,-0.2913623462630085,0.74912,-0.30787999999999993,-0.29127719962157045,0.74912,-0.30787999999999993,-0.29127719962157045,0.74912,-0.30787999999999993,-0.29127719962157045,0.74912,-0.30787999999999993,-0.29127719962157045,0.74904,-0.3079599999999999,-0.2913528855250709,0.74912,-0.30787999999999993,-0.29127719962157045
7,1.183,0.65641,-0.52659,-0.4451310228233305,0.65654,-0.52646,-0.4450211327134404,0.65641,-0.52659,-0.4451310228233305,0.65641,-0.52659,-0.4451310228233305,0.65654,-0.52646,-0.4450211327134404,0.65654,-0.52646,-0.4450211327134404,0.65654,-0.52646,-0.4450211327134404,0.65654,-0.52646,-0.4450211327134404,0.65642,-0.52658,-0.4451225697379544,0.65654,-0.52646,-0.4450211327134404
8,1.084,0.7066,-0.37740000000000007,-0.34815498154981556,0.7068300000000001,-0.37717,-0.34794280442804426,0.7044900000000001,-0.37951,-0.35010147601476016,0.7053900000000001,-0.37861,-0.3492712177121771,0.70574,-0.37826000000000004,-0.3489483394833948,0.7057,-0.3783000000000001,-0.3489852398523986,0.7068300000000001,-0.37717,-0.34794280442804426,0.7057,-0.3783000000000001,-0.3489852398523986,0.70576,-0.37824,-0.34892988929889296,0.70569,-0.37831000000000004,-0.3489944649446495
9,1.261,0.8143900000000001,-0.44660999999999984,-0.35417129262490077,0.8145100000000001,-0.44648999999999983,-0.3540761300555114,0.8143900000000001,-0.44660999999999984,-0.35417129262490077,0.8143900000000001,-0.44660999999999984,-0.35417129262490077,0.8145100000000001,-0.44648999999999983,-0.3540761300555114,0.8145100000000001,-0.44648999999999983,-0.3540761300555114,0.8145100000000001,-0.44648999999999983,-0.3540761300555114,0.8145100000000001,-0.44648999999999983,-0.3540761300555114,0.8143900000000001,-0.44660999999999984,-0.35417129262490077,0.8145100000000001,-0.44648999999999983,-0.3540761300555114
10,1.089,0.70575,-0.38325,-0.35192837465564736,0.7058500000000001,-0.3831499999999999,-0.35183654729109265,0.70575,-0.38325,-0.35192837465564736,0.70575,-0.38325,-0.35192837465564736,0.7058500000000001,-0.3831499999999999,-0.35183654729109265,0.7058500000000001,-0.3831499999999999,-0.35183654729109265,0.7058500000000001,-0.3831499999999999,-0.35183654729109265,0.7058500000000001,-0.3831499999999999,-0.35183654729109265,0.70575,-0.38325,-0.35192837465564736,0.7058500000000001,-0.3831499999999999,-0.35183654729109265
11,0.679,0.4809000000000001,-0.19809999999999994,0.0,0.4798,-0.19920000000000004,0.0,0.4809000000000001,-0.19809999999999994,0.0,0.4809000000000001,-0.19809999999999994,0.0,0.4798,-0.19920000000000004,0.0,0.4798,-0.19920000000000004,0.0,0.4798,-0.19920000000000004,0.0,0.4798,-0.19920000000000004,0.0,0.4809000000000001,-0.19809999999999994,0.0,0.4798,-0.19920000000000004,0.0
12,1.27,0.82069,-0.44931,-0.35378740157480315,0.82082,-0.44918,-0.3536850393700788,0.82069,-0.44931,-0.35378740157480315,0.82069,-0.44931,-0.35378740157480315,0.82082,-0.44918,-0.3536850393700788,0.82082,-0.44918,-0.3536850393700788,0.82082,-0.44918,-0.3536850393700788,0.82082,-0.44918,-0.3536850393700788,0.82069,-0.44931,-0.35378740157480315,0.82082,-0.44918,-0.3536850393700788
13,0.929,0.5278,-0.4012,0.0,0.5279,-0.4011,0.0,0.5278,-0.4012,0.0,0.5278,-0.4012,0.0,0.5279,-0.4011,0.0,0.5279,-0.4011,0.0,0.5279,-0.4011,0.0,0.5279,-0.4011,0.0,0.5278,-0.4012,0.0,0.5279,-0.4011,0.0
14,1.257,0.80491,-0.4520899999999999,-0.35965791567223543,0.80464,-0.4523599999999999,-0.3598727128082736,0.80491,-0.4520899999999999,-0.35965791567223543,0.80491,-0.4520899999999999,-0.35965791567223543,0.80452,-0.4524799999999999,-0.35996817820206833,0.80452,-0.4524799999999999,-0.35996817820206833,0.80464,-0.4523599999999999,-0.3598727128082736,0.80452,-0.4524799999999999,-0.35996817820206833,0.80491,-0.4520899999999999,-0.35965791567223543,0.80452,-0.4524799999999999,-0.35996817820206833
15,1.128,0.70316,-0.4248399999999999,-0.3766312056737588,0.70325,-0.42474999999999985,-0.37655141843971623,0.70316,-0.4248399999999999,-0.3766312056737588,0.70316,-0.4248399999999999,-0.3766312056737588,0.70325,-0.42474999999999985,-0.37655141843971623,0.70325,-0.42474999999999985,-0.37655141843971623,0.70325,-0.42474999999999985,-0.37655141843971623,0.70325,-0.42474999999999985,-0.37655141843971623,0.70316,-0.4248399999999999,-0.3766312056737588,0.70325,-0.42474999999999985,-0.37655141843971623
16,1.047,0.74822,-0.29877999999999993,-0.285367717287488,0.74773,-0.2992699999999999,-0.2858357211079274,0.74829,-0.2987099999999999,-0.2853008595988538,0.7483000000000001,-0.29869999999999985,-0.28529130850047746,0.74797,-0.2990299999999999,-0.2856064947468958,0.74797,-0.2990299999999999,-0.2856064947468958,0.7477600000000001,-0.29923999999999984,-0.28580706781279835,0.74797,-0.2990299999999999,-0.2856064947468958,0.74577,-0.3012299999999999,-0.2877077363896847,0.74797,-0.2990299999999999,-0.2856064947468958
17,1.37,0.74051,-0.6294900000000001,-0.45948175182481754,0.7406400000000001,-0.62936,-0.4593868613138686,0.74051,-0.6294900000000001,-0.45948175182481754,0.74051,-0.6294900000000001,-0.45948175182481754,0.7406400000000001,-0.62936,-0.4593868613138686,0.7406400000000001,-0.62936,-0.4593868613138686,0.7406400000000001,-0.62936,-0.4593868613138686,0.7406400000000001,-0.62936,-0.4593868613138686,0.7405200000000001,-0.62948,-0.4594744525547445,0.7406400000000001,-0.62936,-0.4593868613138686
18,1.368,0.96608,-0.40192000000000005,-0.2938011695906433,0.9662200000000001,-0.40178,-0.29369883040935674,0.96608,-0.40192000000000005,-0.2938011695906433,0.96608,-0.40192000000000005,-0.2938011695906433,0.9662200000000001,-0.40178,-0.29369883040935674,0.9662200000000001,-0.40178,-0.29369883040935674,0.9662200000000001,-0.40178,-0.29369883040935674,0.9662200000000001,-0.40178,-0.29369883040935674,0.96597,-0.4020300000000001,-0.2938815789473685,0.9662200000000001,-0.40178,-0.29369883040935674
19,1.181,0.8496400000000001,-0.33136,-0.28057578323454696,0.84892,-0.33208000000000004,-0.28118543607112617,0.8496400000000001,-0.33136,-0.28057578323454696,0.8496400000000001,-0.33136,-0.28057578323454696,0.84892,-0.33208000000000004,-0.28118543607112617,0.84892,-0.33208000000000004,-0.28118543607112617,0.84892,-0.33208000000000004,-0.28118543607112617,0.84892,-0.33208000000000004,-0.28118543607112617,0.8496400000000001,-0.33136,-0.28057578323454696,0.84892,-0.33208000000000004,-0.28118543607112617
20,0.888,0.5297000000000001,-0.35829999999999995,0.0,0.5298,-0.35819999999999996,0.0,0.5297000000000001,-0.35829999999999995,0.0,0.5297000000000001,-0.35829999999999995,0.0,0.5298,-0.35819999999999996,0.0,0.5298,-0.35819999999999996,0.0,0.5298,-0.35819999999999996,0.0,0.5298,-0.35819999999999996,0.0,0.5297000000000001,-0.35829999999999995,0.0,0.5298,-0.35819999999999996,0.0
21,2.381,1.86761,-0.5133899999999998,-0.21561948761024774,1.86796,-0.5130399999999997,-0.2154724905501889,1.86762,-0.5133799999999997,-0.215615287694246,1.86761,-0.5133899999999998,-0.21561948761024774,1.86796,-0.5130399999999997,-0.2154724905501889,1.86796,-0.5130399999999997,-0.2154724905501889,1.86796,-0.5130399999999997,-0.2154724905501889,1.8679700000000001,-0.5130299999999997,-0.21546829063418718,1.86762,-0.5133799999999997,-0.215615287694246,1.8679700000000001,-0.5130299999999997,-0.21546829063418718
22,1.011,0.6881,-0.32289999999999985,-0.3193867457962412,0.6857000000000001,-0.3252999999999998,-0.3217606330365973,0.6881,-0.32289999999999985,-0.3193867457962412,0.6881,-0.32289999999999985,-0.3193867457962412,0.68684,-0.3241599999999999,-0.3206330365974282,0.68684,-0.3241599999999999,-0.3206330365974282,0.68618,-0.3248199999999999,-0.3212858555885261,0.68684,-0.3241599999999999,-0.3206330365974282,0.6881,-0.32289999999999985,-0.3193867457962412,0.68684,-0.3241599999999999,-0.3206330365974282
23,1.421,1.01386,-0.40714000000000006,-0.2865165376495426,1.01237,-0.40863000000000005,-0.2875650950035187,1.01386,-0.40714000000000006,-0.2865165376495426,1.01386,-0.40714000000000006,-0.2865165376495426,1.01234,-0.40866,-0.28758620689655173,1.01234,-0.40866,-0.28758620689655173,1.0123600000000001,-0.4086399999999999,-0.28757213230119627,1.01234,-0.40866,-0.28758620689655173,1.0137399999999999,-0.4072600000000002,-0.286600985221675,1.01234,-0.40866,-0.28758620689655173
24,1.611,0.99858,-0.61242,-0.38014897579143386,0.99872,-0.6122799999999999,-0.38006207324643076,0.99858,-0.61242,-0.38014897579143386,0.99858,-0.61242,-0.38014897579143386,0.99872,-0.6122799999999999,-0.38006207324643076,0.99872,-0.6122799999999999,-0.38006207324643076,0.99872,-0.6122799999999999,-0.38006207324643076,0.99872,-0.6122799999999999,-0.38006207324643076,0.99858,-0.61242,-0.38014897579143386,0.99872,-0.6122799999999999,-0.38006207324643076
25,1.699,1.14608,-0.5529200000000001,-0.3254384932313126,1.14611,-0.5528900000000001,-0.32542083578575637,1.14608,-0.5529200000000001,-0.3254384932313126,1.14608,-0.5529200000000001,-0.3254384932313126,1.14612,-0.55288,-0.3254149499705709,1.14612,-0.55288,-0.3254149499705709,1.14611,-0.5528900000000001,-0.32542083578575637,1.14612,-0.55288,-0.3254149499705709,1.14608,-0.5529200000000001,-0.3254384932313126,1.14612,-0.55288,-0.3254149499705709
26,2.412,1.88175,-0.5302499999999999,-0.2198383084577114,1.8818300000000001,-0.5301699999999998,-0.2198051409618573,1.88175,-0.5302499999999999,-0.2198383084577114,1.88175,-0.5302499999999999,-0.2198383084577114,1.8818300000000001,-0.5301699999999998,-0.2198051409618573,1.8818300000000001,-0.5301699999999998,-0.2198051409618573,1.8818300000000001,-0.5301699999999998,-0.2198051409618573,1.8818300000000001,-0.5301699999999998,-0.2198051409618573,1.88175,-0.5302499999999999,-0.2198383084577114,1.8818300000000001,-0.5301699999999998,-0.2198051409618573
27,2.669,2.17823,-0.49076999999999993,-0.18387785687523414,2.17829,-0.49071,-0.18385537654552267,2.17823,-0.49076999999999993,-0.18387785687523414,2.17823,-0.49076999999999993,-0.18387785687523414,2.1783200000000003,-0.4906799999999998,-0.18384413638066682,2.1783200000000003,-0.4906799999999998,-0.18384413638066682,2.17829,-0.49071,-0.18385537654552267,2.1783200000000003,-0.4906799999999998,-0.18384413638066682,2.17823,-0.49076999999999993,-0.18387785687523414,2.1783200000000003,-0.4906799999999998,-0.18384413638066682
28,1.531,0.98449,-0.5465099999999999,-0.35696276943174393,0.98514,-0.5458599999999999,-0.35653821032005223,0.98449,-0.5465099999999999,-0.35696276943174393,0.98449,-0.5465099999999999,-0.35696276943174393,0.98514,-0.5458599999999999,-0.35653821032005223,0.98514,-0.5458599999999999,-0.35653821032005223,0.98514,-0.5458599999999999,-0.35653821032005223,0.98514,-0.5458599999999999,-0.35653821032005223,0.9845200000000001,-0.5464799999999999,-0.35694317439581963,0.98514,-0.5458599999999999,-0.35653821032005223
29,2.608,1.92747,-0.6805300000000001,-0.26093941717791413,1.9275600000000002,-0.6804399999999999,-0.26090490797546007,1.92747,-0.6805300000000001,-0.26093941717791413,1.92747,-0.6805300000000001,-0.26093941717791413,1.9275600000000002,-0.6804399999999999,-0.26090490797546007,1.9275600000000002,-0.6804399999999999,-0.26090490797546007,1.9275600000000002,-0.6804399999999999,-0.26090490797546007,1.9275600000000002,-0.6804399999999999,-0.26090490797546007,1.92747,-0.6805300000000001,-0.26093941717791413,1.9275600000000002,-0.6804399999999999,-0.26090490797546007
30,3.153,2.27272,-0.88028,-0.2791880748493498,2.27284,-0.88016,-0.2791500158579131,2.27272,-0.88028,-0.2791880748493498,2.27272,-0.88028,-0.2791880748493498,2.27284,-0.88016,-0.2791500158579131,2.27284,-0.88016,-0.2791500158579131,2.27284,-0.88016,-0.2791500158579131,2.27284,-0.88016,-0.2791500158579131,2.27273,-0.8802699999999999,-0.27918490326673007,2.27284,-0.88016,-0.2791500158579131
31,2.923,2.13381,-0.7891900000000001,-0.2699931577146767,2.13393,-0.7890700000000002,-0.26995210400273695,2.13381,-0.7891900000000001,-0.2699931577146767,2.13381,-0.7891900000000001,-0.2699931577146767,2.13393,-0.7890700000000002,-0.26995210400273695,2.13393,-0.7890700000000002,-0.26995210400273695,2.13393,-0.7890700000000002,-0.26995210400273695,2.13393,-0.7890700000000002,-0.26995210400273695,2.13381,-0.7891900000000001,-0.2699931577146767,2.13393,-0.7890700000000002,-0.26995210400273695
32,1.876,1.3013,-0.5747,-0.30634328358208956,1.30142,-0.5745799999999999,-0.3062793176972281,1.3013,-0.5747,-0.30634328358208956,1.3013,-0.5747,-0.30634328358208956,1.30142,-0.5745799999999999,-0.3062793176972281,1.30142,-0.5745799999999999,-0.3062793176972281,1.30142,-0.5745799999999999,-0.3062793176972281,1.30142,-0.5745799999999999,-0.3062793176972281,1.30131,-0.5746899999999999,-0.30633795309168443,1.30142,-0.5745799999999999,-0.3062793176972281
33,3.011,2.31652,-0.69448,-0.23064762537363,2.31659,-0.69441,-0.23062437728329457,2.31652,-0.69448,-0.23064762537363,2.31652,-0.69448,-0.23064762537363,2.3166,-0.6943999999999999,-0.23062105612753234,2.3166,-0.6943999999999999,-0.23062105612753234,2.31659,-0.69441,-0.23062437728329457,2.3166,-0.6943999999999999,-0.23062105612753234,2.31653,-0.6944699999999999,-0.23064430421786777,2.3166,-0.6943999999999999,-0.23062105612753234
34,3.129,2.22387,-0.9051300000000002,-0.28927133269415156,2.22318,-0.9058199999999998,-0.2894918504314477,2.22387,-0.9051300000000002,-0.28927133269415156,2.22387,-0.9051300000000002,-0.28927133269415156,2.2242800000000003,-0.9047199999999997,-0.2891403004154681,2.2242800000000003,-0.9047199999999997,-0.2891403004154681,2.22318,-0.9058199999999998,-0.2894918504314477,2.2242800000000003,-0.9047199999999997,-0.2891403004154681,2.22385,-0.9051499999999999,-0.2892777245126238,2.2242800000000003,-0.9047199999999997,-0.2891403004154681
35,2.963,2.1725,-0.7905000000000002,-0.26679041511981105,2.17261,-0.7903899999999999,-0.26675329058386765,2.1725,-0.7905000000000002,-0.26679041511981105,2.1725,-0.7905000000000002,-0.26679041511981105,2.17261,-0.7903899999999999,-0.26675329058386765,2.17261,-0.7903899999999999,-0.26675329058386765,2.17261,-0.7903899999999999,-0.26675329058386765,2.17261,-0.7903899999999999,-0.26675329058386765,2.1725,-0.7905000000000002,-0.26679041511981105,2.17261,-0.7903899999999999,-0.26675329058386765
