,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.2198393689057161,0.2590609021797351,0.6079453658170609,0.0909182345974091,610.5316689326264
1,1,0.3236523670087838,0.2603712242823289,0.6062989375748895,0.0899732739344029,710.8402762297465
2,2,0.3440675483968963,0.1541110699397449,0.6136868803704416,0.0828218557376068,837.9151932672644
3,3,0.3444373910613008,0.1539947514744729,0.6125474564770449,0.0821426722933265,839.2676362940292
4,4,0.3407812216043869,0.2159969402219342,0.6071796763380286,0.0918024184730453,836.7564218797121
5,5,0.2138707640773207,0.2581681967641016,0.603416993734024,0.0937052966609092,609.1890578516634
6,6,0.3412203150293169,0.2248096077048032,0.606629743667723,0.094935216595548,822.1279714319737
7,7,0.0914389253828733,0.2478507283819918,0.6030531140740241,0.090610774794398,625.4493311512654
8,8,0.2813154329396172,0.2466235345953361,0.5956762851660551,0.1014420950635328,698.8484905106957
9,9,0.2993759310300742,0.2552538368707523,0.6077091128567569,0.0969677585882048,697.0820748651834
