,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.2198393688110001,0.2590608984211701,0.6079453658134449,0.0909182345712348,610.5316820382143,597.282,15,13.249682038214246,0.02218329371756431,-102.71799999999996,-0.14673999999999995
1,1,0.3236523670087838,0.2603712242823289,0.6062989375748895,0.0899732739344029,710.8402762297465,697.473,12,13.367276229746494,0.01916529561681455,-2.5270000000000437,-0.0036100000000000624
2,2,0.3440675483968963,0.1541110699397449,0.6136868803704416,0.0828218557376068,837.9151932672644,822.971,17,14.944193267264382,0.01815883338205645,122.971,0.17567285714285716
3,3,0.3444372718855357,0.1539947535490716,0.6125474564405352,0.0821426703733178,839.2675273540526,818.838,21,20.429527354052652,0.02494941289248014,118.83799999999997,0.16976857142857138
4,4,0.3407812196782941,0.215996940784547,0.6071796763495081,0.0918024183941463,836.7564197177477,815.49,20,21.26641971774768,0.02607808767458544,115.49000000000001,0.1649857142857143
5,5,0.2138707640753288,0.2581681966177048,0.6034169937339965,0.0937052966585991,609.1890583636753,604.545,10,4.644058363675299,0.00768190682856578,-95.45500000000004,-0.13636428571428577
6,6,0.3412203150293169,0.2248096077048032,0.606629743667723,0.094935216595548,822.1279714319737,808.909,14,13.218971431973728,0.01634172871358055,108.90899999999999,0.1555842857142857
7,7,0.0914389253800796,0.2478507282592388,0.6030531140738672,0.0906107748055832,625.4493315144442,621.715,12,3.734331514444193,0.006006500590212868,-78.28499999999997,-0.11183571428571425
8,8,0.2813154329292928,0.2466235345726816,0.5956762851655066,0.1014420950657671,698.8484905666087,687.966,14,10.88249056660868,0.015818355219020534,-12.033999999999992,-0.01719142857142856
9,9,0.2993759310286412,0.2552538368625496,0.607709112856769,0.0969677585886945,697.0820748929277,680.63,15,16.452074892927726,0.024171833291109304,-19.370000000000005,-0.02767142857142858
