,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.1681959718394424,0.2487164857755199,0.6568537523428969,0.1210032048072166,638.1793745266743
1,1,0.1026712297741483,0.2211085521109569,0.6546526272791339,0.1260254127197664,690.6716793466817
2,2,0.0824659427873529,0.2232646515216197,0.6540237836385031,0.1312196466390431,691.6624796114128
3,3,0.221650709706447,0.2270736990718252,0.6571638615530637,0.1157115534670032,700.8658602039361
4,4,0.2225290777376314,0.2291362780763783,0.6600665029515888,0.1154799312792789,697.8661778066337
5,5,0.2219101142450769,0.2297640192754728,0.6613683232077117,0.1156320139018899,696.5620164494658
6,6,0.2398639165317485,0.2362572288802878,0.6551807205672369,0.1300996056318181,695.6045963146507
7,7,0.2375327582619743,0.2550149267630825,0.6508773041115066,0.1216229877695107,639.1992454737926
8,8,0.2391405692067801,0.2355793371584028,0.6561326693989834,0.1306021564035711,696.8533832665518
9,9,0.2357913514457081,0.2546990333933378,0.6546207415844593,0.1238479859877412,638.9984342362529
