,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.1681959718394424,0.2487164857755199,0.6568537523428969,0.1210032048072166,638.1793745266743,629.498,14,8.68137452667429,0.013790948544195993,-70.50199999999995,-0.10071714285714278
1,1,0.1026712297741483,0.2211085521109569,0.6546526272791339,0.1260254127197664,690.6716793466817,677.921,15,12.750679346681636,0.018808503272035586,-22.07899999999995,-0.0315414285714285
2,2,0.0824659427873529,0.2232646515216197,0.6540237836385031,0.1312196466390431,691.6624796114128,677.39,18,14.272479611412791,0.021069811499155273,-22.610000000000014,-0.032300000000000016
3,3,0.221650709706447,0.2270736990718252,0.6571638615530637,0.1157115534670032,700.8658602039361,690.251,14,10.614860203936132,0.01537826124690313,-9.749000000000024,-0.013927142857142891
4,4,0.2225290777376314,0.2291362780763783,0.6600665029515888,0.1154799312792789,697.8661778066337,686.49,16,11.376177806633677,0.01657151277751122,-13.509999999999991,-0.019299999999999987
5,5,0.2219101142450769,0.2297640192754728,0.6613683232077117,0.1156320139018899,696.5620164494658,687.675,15,8.887016449465818,0.01292327981890547,-12.325000000000045,-0.017607142857142922
6,6,0.2398639165317485,0.2362572288802878,0.6551807205672369,0.1300996056318181,695.6045963146507,686.772,17,8.832596314650687,0.01286103148446746,-13.227999999999952,-0.01889714285714279
7,7,0.2375327582619743,0.2550149267630825,0.6508773041115066,0.1216229877695107,639.1992454737926,630.622,15,8.577245473792686,0.013601246822649205,-69.37800000000004,-0.09911142857142863
8,8,0.2391405692067801,0.2355793371584028,0.6561326693989834,0.1306021564035711,696.8533832665518,692.058,14,4.795383266551767,0.006929163836776349,-7.942000000000007,-0.011345714285714296
9,9,0.2357913514457081,0.2546990333933378,0.6546207415844593,0.1238479859877412,638.9984342362529,635.353,13,3.6454342362529815,0.005737651724715209,-64.64700000000005,-0.09235285714285721
