,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.3489734805124544,0.2462701515364616,0.2762640499485551,0.124415202926268,702.5804936449227
1,1,0.3479312892674708,0.2425994042329884,0.2766073868923073,0.1237257565262206,711.9159752089796
2,2,0.3479694829863337,0.2425733659796504,0.2765747925629686,0.1238054094543145,712.3062309326774
3,3,0.3478619345068647,0.2426234311149044,0.2767390963148115,0.1237329135439455,709.8147360332707
4,4,0.347522393041243,0.242868034529665,0.2769040430859351,0.1232007505833902,709.0922162743689
5,5,0.3474636908671414,0.2428577832911395,0.2768445211950304,0.1232732202777828,708.6949542034541
6,6,0.3499999222511201,0.2499996437304044,0.2759999840788419,0.1249999925249352,703.910451536504
7,7,0.3499999508452071,0.2499997668553404,0.2759999928978087,0.1249999954887027,705.9699846149515
8,8,0.3499991846303056,0.2499962763720974,0.2759998456175198,0.1249999296077268,703.7244449354868
9,9,0.3499999232646268,0.2499996469052785,0.2759999894072704,0.1249999917527407,706.1122675677743
