,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.3489734805124544,0.2462701515364616,0.2762640499485551,0.124415202926268,702.5804936449227,706.357,14,-3.776506355077231,-0.0053464556238236914,6.356999999999971,0.00908142857142853
1,1,0.3479312892674708,0.2425994042329884,0.2766073868923073,0.1237257565262206,711.9159752089796,717.273,13,-5.357024791020422,-0.007468599530472249,17.273000000000025,0.02467571428571432
2,2,0.3479694829863337,0.2425733659796504,0.2765747925629686,0.1238054094543145,712.3062309326774,718.726,14,-6.419769067322591,-0.008932150871573577,18.726,0.026751428571428572
3,3,0.3478619345068647,0.2426234311149044,0.2767390963148115,0.1237329135439455,709.8147360332707,716.265,16,-6.450263966729267,-0.009005415546940402,16.264999999999986,0.023235714285714266
4,4,0.347522393041243,0.242868034529665,0.2769040430859351,0.1232007505833902,709.0922162743689,716.592,13,-7.499783725631119,-0.010465904902135552,16.591999999999985,0.02370285714285712
5,5,0.3474636908671414,0.2428577832911395,0.2768445211950304,0.1232732202777828,708.6949542034541,716.482,13,-7.78704579654584,-0.010868445817963103,16.48199999999997,0.023545714285714243
6,6,0.3499999222511201,0.2499996437304044,0.2759999840788419,0.1249999925249352,703.910451536504,696.385,14,7.525451536503965,0.010806452661249116,-3.615000000000009,-0.005164285714285727
7,7,0.3499999508452071,0.2499997668553404,0.2759999928978087,0.1249999954887027,705.9699846149515,695.188,16,10.781984614951512,0.015509451565549911,-4.812000000000012,-0.006874285714285731
8,8,0.3499991846303056,0.2499962763720974,0.2759998456175198,0.1249999296077268,703.7244449354868,696.891,13,6.833444935486796,0.009805615132763654,-3.1090000000000373,-0.004441428571428625
9,9,0.3499999232646268,0.2499996469052785,0.2759999894072704,0.1249999917527407,706.1122675677743,692.327,19,13.785267567774326,0.019911497843900824,-7.673000000000002,-0.010961428571428573
